encoder_cutoff,row_index,date,state,trend60,volatility20,range20,volume_change20,order60,market5_outside_any,market5_outside_fraction,market5_mean_squared_raw_z,outside_trend60,outside_volatility20,outside_range20,outside_volume_change20,outside_order60,decoded25_outside_any,decoded25_outside_fraction,decoded25_mean_squared_raw_z
2024-12-31,2975,2023-04-27,negative_low,-0.7825973849652044,0.007880406485271139,0.009985450248213646,0.1399125005562034,0.07344632768361581,0.0,0.0,0.603528876969686,0,0,0,0,0,0.0,0.0,0.5621505211636729
2024-12-31,2976,2023-04-28,negative_low,-0.5642369487126937,0.00800252959577603,0.009743594481188556,0.18024716958819909,0.08361581920903954,0.0,0.0,0.6239709217944538,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.0413538342518793
2024-12-31,2977,2023-05-04,negative_low,-0.41909562375182347,0.007970125225531867,0.009883377666612158,0.49417379905453984,0.09152542372881356,0.0,0.0,0.9572829391841056,0,0,0,0,0,0.0,0.0,0.7424434994901287
2024-12-31,2978,2023-05-05,negative_low,-0.2707206166845795,0.007653301415224439,0.01005496203205789,0.1262253746277402,0.09152542372881356,0.0,0.0,0.5812962025925492,0,0,0,0,0,0.0,0.0,1.2311003044640199
2024-12-31,2979,2023-05-08,negative_low,-0.11941825006965634,0.008068864737586844,0.010413249263653678,0.2595997698661776,0.09152542372881356,0.0,0.0,0.6012341407685711,0,0,0,0,0,0.0,0.0,0.48377673173128954
2024-12-31,2980,2023-05-09,negative_low,-0.1825960005730123,0.008258765355631999,0.010981976440761886,0.6169946295629245,0.09152542372881356,0.0,0.0,1.0525883317042888,0,0,0,0,0,0.0,0.0,0.4540167372778931
2024-12-31,2981,2023-05-10,negative_low,-0.5136686642817984,0.008208869403549512,0.010936320046843306,0.4780819713922426,0.11751412429378531,0.0,0.0,0.9663752974386528,0,0,0,0,0,0.0,0.0,0.39808828561522125
2024-12-31,2982,2023-05-11,negative_low,-0.4465861974867607,0.008181319574154048,0.010901824046885356,-0.051470985982003725,0.15141242937853108,0.0,0.0,0.7891635073184715,0,0,0,0,0,0.0,0.0,0.5477593392108437
2024-12-31,2983,2023-05-12,negative_low,-0.7899736858183342,0.008583656586546888,0.011283162487064935,-0.06357401579607114,0.14124293785310735,0.0,0.0,0.7620627389516054,0,0,0,0,0,0.0,0.0,0.49702609705597806
2024-12-31,2984,2023-05-15,negative_low,-0.5409595351825115,0.009387523982348257,0.012021601911694458,0.060166612877932124,0.14124293785310735,0.0,0.0,0.6291461047527589,0,0,0,0,0,0.0,0.0,0.4271486742261276
2024-12-31,2985,2023-05-16,negative_low,-0.5403874626037657,0.009341895318049848,0.012138947725921589,-0.13393681852727113,0.10734463276836159,0.0,0.0,0.47889118833093425,0,0,0,0,0,0.0,0.0,0.42885097721295923
2024-12-31,2986,2023-05-17,negative_low,-0.4998857383290079,0.009236020423760087,0.012322600312406706,-0.24078684289610663,0.10734463276836159,0.0,0.0,0.5347133840986282,0,0,0,0,0,0.0,0.0,0.324681181040261
2024-12-31,2987,2023-05-18,negative_low,-0.30332973730548163,0.008523681199695439,0.012140836930152332,-0.3239724565571329,0.14124293785310735,0.0,0.0,0.7972257933233117,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.678306134960061
2024-12-31,2988,2023-05-19,negative_low,-0.7819332706272699,0.008432351917919065,0.012258622417482013,-0.3476201307580631,0.12881355932203392,0.0,0.0,0.8435765200925053,0,0,0,0,0,0.0,0.0,0.46732078304827357
2024-12-31,2989,2023-05-22,negative_low,-0.7173060246608168,0.008514689900022082,0.012392406098019393,-0.3985968120329808,0.12881355932203392,0.0,0.0,0.8799349931598412,0,0,0,0,0,0.0,0.0,0.3276117477706038
2024-12-31,2990,2023-05-23,negative_low,-0.7911640439794267,0.008929191811046027,0.012750378173693112,-0.31547547641599394,0.09491525423728814,0.0,0.0,0.6104916226466477,0,0,0,0,0,0.0,0.0,0.37848396915618204
2024-12-31,2991,2023-05-24,negative_low,-0.9838556655424143,0.008442619129040735,0.012315134730722387,-0.27554061687729003,0.09491525423728814,0.0,0.0,0.670631403292241,0,0,0,0,0,0.3333333333333333,0.02666666666666667,0.5183028057953702
2024-12-31,2992,2023-05-25,negative_low,-0.8622579032758009,0.00810878915221906,0.012060641154788243,-0.31488517993108545,0.09491525423728814,0.0,0.0,0.6961138617300001,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.7737909490996406
2024-12-31,2993,2023-05-26,negative_low,-0.7926854460671662,0.008080304622949723,0.011797891499810208,-0.54228913288188,0.10734463276836159,0.0,0.0,1.0671777000614031,0,0,0,0,0,0.6666666666666666,0.02666666666666667,0.5750188426037
2024-12-31,2994,2023-05-29,negative_low,-0.9720041452835174,0.008105121706586059,0.01189811972848238,-0.21017983873238677,0.06101694915254237,0.0,0.0,0.5260576482279251,0,0,0,0,0,0.0,0.0,0.8903360875370275
2024-12-31,2995,2023-05-30,negative_low,-1.221492023823737,0.00786906643301038,0.01190622322981616,-0.11134279405952441,0.06101694915254237,0.0,0.0,0.5862191450228844,0,0,0,0,0,0.0,0.0,0.5729477252455158
2024-12-31,2996,2023-05-31,negative_low,-1.3415597823186405,0.007554878509080045,0.01204415372969896,-0.35087095136711355,0.06101694915254237,0.0,0.0,0.8419411677399011,0,0,0,0,0,0.0,0.0,0.6335720804905504
2024-12-31,2997,2023-06-01,negative_low,-1.35815825436702,0.0076068052538014255,0.012209955733395627,-0.5254901522846183,0.06101694915254237,0.0,0.0,1.0929287067245896,0,0,0,0,0,0.0,0.0,0.6356047997959041
2024-12-31,2998,2023-06-02,negative_low,-1.0018324699472847,0.008475787317623851,0.012166324491711756,-0.502480254496291,0.07344632768361581,0.0,0.0,0.8928718251505104,0,0,0,0,0,0.0,0.0,0.5569882898551071
2024-12-31,2999,2023-06-05,negative_low,-0.8574041860601987,0.00791823859857188,0.011891141889694801,-0.7885446469447643,0.03954802259887006,1.0,0.2,1.3938030289849892,0,0,0,1,0,0.0,0.0,0.5657669770047588
2024-12-31,3000,2023-06-06,negative_low,-0.9446904791621826,0.007951011805689986,0.011920106142735332,-0.7977637718265953,0.03954802259887006,1.0,0.2,1.443346972982606,0,0,0,1,0,0.0,0.0,0.8497271705288578
2024-12-31,3001,2023-06-07,negative_low,-0.9666504259052203,0.007887846742462021,0.012055615068507386,-0.7416560133721113,0.03954802259887006,0.0,0.0,1.3059577209471842,0,0,0,0,0,0.3333333333333333,0.04,0.961764255599873
2024-12-31,3002,2023-06-08,negative_low,-0.6240894468621837,0.008229654749957934,0.012429856680070017,-0.1987782069345343,0.04971751412429379,0.0,0.0,0.35455324503057684,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.7326001344212104
2024-12-31,3003,2023-06-09,negative_low,-0.734997170998978,0.007926409377818704,0.011983734096737652,-0.07251369271607899,0.08361581920903954,0.0,0.0,0.4690582160307185,0,0,0,0,0,0.0,0.0,0.7181766145995532
2024-12-31,3004,2023-06-12,negative_low,-0.6024631613993563,0.006998274464748772,0.011623750804126854,-0.32966116822283453,0.12542372881355932,0.0,0.0,0.8779389764326829,0,0,0,0,0,0.0,0.0,0.6028202866434073
2024-12-31,3005,2023-06-13,negative_low,-0.5199865283161351,0.007129884907229827,0.011586143102546308,-0.2099093725258676,0.1593220338983051,0.0,0.0,0.9405114159589132,0,0,0,0,0,0.0,0.0,0.7502084510738531
2024-12-31,3006,2023-06-14,negative_low,-0.3285026483261519,0.007098017172880866,0.011502727700223403,0.053484138648993707,0.1593220338983051,0.0,0.0,0.8476248269605714,0,0,0,0,0,0.0,0.0,0.9460477500020086
2024-12-31,3007,2023-06-15,negative_low,-0.13960329727685963,0.008009205846713075,0.011646900973372176,-0.06165704309236375,0.1593220338983051,0.0,0.0,0.7753489115759317,0,0,0,0,0,0.6666666666666666,0.04,1.6774803945383125
