period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks,regressions,recoveries
year_2026,weekly_global_ungated,learned_market,30,19,8,19,4,5
year_2026,weekly_global_ungated,learned_order_extension,30,19,0,19,6,4
year_2026,weekly_global_ungated,learned_order_offset,30,19,0,19,6,4
year_2026,weekly_global_ungated,learned_vol_interaction,30,19,8,19,2,4
year_2026,weekly_global_validated,learned_market,30,19,8,8,3,1
year_2026,weekly_global_validated,learned_order_extension,30,19,0,0,0,0
year_2026,weekly_global_validated,learned_order_offset,30,19,0,0,0,0
year_2026,weekly_global_validated,learned_vol_interaction,30,19,8,8,1,0
year_2026,weekly_state_ungated,learned_market,30,10,2,10,1,1
year_2026,weekly_state_ungated,learned_order_extension,30,10,0,10,3,0
year_2026,weekly_state_ungated,learned_order_offset,30,10,0,10,3,0
year_2026,weekly_state_ungated,learned_vol_interaction,30,10,2,10,0,1
year_2026,weekly_state_validated,learned_market,30,10,2,2,1,0
year_2026,weekly_state_validated,learned_order_extension,30,10,0,0,0,0
year_2026,weekly_state_validated,learned_order_offset,30,10,0,0,0,0
year_2026,weekly_state_validated,learned_vol_interaction,30,10,2,2,0,0
