period,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,rolling5_matched,learned_order_extension,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.31896551724137934,0.35648019657992813,0.9341357087505321,0.5762275882098077,0.18578820493809697,0.16806432290368523,0.0
year_2022,rolling5_matched,learned_order_offset,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.31896551724137934,0.35589894491395996,0.9325422682228165,0.5759025525476595,0.1853055339413423,0.16773928724153708,0.0
year_2022,rolling5_matched,learned_vol_interaction,49,0.32653061224489793,0.673469387755102,16,0.35344827586206895,0.673469387755102,0.40816326530612246,10,6,23,10,0.32241379310344825,0.3538183658487915,0.9236019114859327,0.5758509741834308,0.18030361364958736,0.16768770887730833,0.0
year_2022,rolling5_matched,native_mse,49,0.30612244897959184,0.6938775510204082,15,0.328448275862069,0.6530612244897959,0.40816326530612246,9,6,23,11,0.3086206896551724,,,,,,
year_2022,rolling5_matched,training_frequency,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.5,0.2605181144451977,0.7142485422142615,0.545829892650702,1.1102230246251565e-16,0.13766662734457957,0.0
year_2022,rolling5_quarterly20,learned_market,49,0.3673469387755102,0.6326530612244898,18,0.40344827586206894,0.7142857142857143,0.40816326530612246,12,6,23,8,0.41206896551724137,0.2812556245235539,0.7573771918510332,0.5600775052374088,0.08050657342597721,0.1519142399312864,0.0
year_2022,rolling5_quarterly20,learned_order_extension,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.39655172413793105,0.2827661185723608,0.7599419818757454,0.5550636029310446,0.08989461281763435,0.14690033762492216,0.0
year_2022,rolling5_quarterly20,learned_order_offset,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.3931034482758621,0.28295700941501994,0.7603445739274926,0.5553706916456445,0.0896194915059956,0.147207426339522,0.0
year_2022,rolling5_quarterly20,learned_vol_interaction,49,0.3469387755102041,0.6530612244897959,17,0.3706896551724138,0.6530612244897959,0.40816326530612246,10,7,22,10,0.4051724137931034,0.2824508402633772,0.7597933526590713,0.5576978458909508,0.08169896688682692,0.14953458058482838,0.0
year_2022,rolling5_quarterly20,native_mse,49,0.40816326530612246,0.5918367346938775,20,0.4456896551724138,0.7142857142857143,0.40816326530612246,13,7,22,7,0.45689655172413796,,,,,,
