cutoff,method,family,component,reason,accepted
2021-06-30,learned_vol_interaction,state,negative_low,insufficient_history,False
2021-06-30,learned_vol_interaction,state,negative_high,insufficient_history,False
2021-06-30,learned_vol_interaction,state,nonnegative_low,insufficient_history,False
2021-06-30,learned_vol_interaction,state,nonnegative_high,insufficient_history,False
2021-06-30,learned_vol_interaction,global,all,insufficient_history,False
2021-06-30,learned_order_extension,state,negative_low,insufficient_history,False
2021-06-30,learned_order_extension,state,negative_high,insufficient_history,False
2021-06-30,learned_order_extension,state,nonnegative_low,insufficient_history,False
2021-06-30,learned_order_extension,state,nonnegative_high,insufficient_history,False
2021-06-30,learned_order_extension,global,all,insufficient_history,False
2021-06-30,learned_order_offset,state,negative_low,insufficient_history,False
2021-06-30,learned_order_offset,state,negative_high,insufficient_history,False
2021-06-30,learned_order_offset,state,nonnegative_low,insufficient_history,False
2021-06-30,learned_order_offset,state,nonnegative_high,insufficient_history,False
2021-06-30,learned_order_offset,global,all,insufficient_history,False
2021-09-30,learned_market,state,negative_low,insufficient_history,False
2021-09-30,learned_market,state,negative_high,insufficient_history,False
2021-09-30,learned_market,state,nonnegative_low,insufficient_history,False
2021-09-30,learned_market,state,nonnegative_high,insufficient_history,False
2021-09-30,learned_market,global,all,insufficient_history,False
2021-09-30,learned_vol_interaction,state,negative_low,insufficient_history,False
2021-09-30,learned_vol_interaction,state,negative_high,insufficient_history,False
2021-09-30,learned_vol_interaction,state,nonnegative_low,insufficient_history,False
2021-09-30,learned_vol_interaction,state,nonnegative_high,insufficient_history,False
2021-09-30,learned_vol_interaction,global,all,insufficient_history,False
2021-09-30,learned_order_extension,state,negative_low,insufficient_history,False
2021-09-30,learned_order_extension,state,negative_high,insufficient_history,False
2021-09-30,learned_order_extension,state,nonnegative_low,insufficient_history,False
2021-09-30,learned_order_extension,state,nonnegative_high,insufficient_history,False
2021-09-30,learned_order_extension,global,all,insufficient_history,False
2021-09-30,learned_order_offset,state,negative_low,insufficient_history,False
2021-09-30,learned_order_offset,state,negative_high,insufficient_history,False
2021-09-30,learned_order_offset,state,nonnegative_low,insufficient_history,False
2021-09-30,learned_order_offset,state,nonnegative_high,insufficient_history,False
2021-09-30,learned_order_offset,global,all,insufficient_history,False
2021-12-31,learned_market,state,negative_low,annual_reset,False
2021-12-31,learned_market,state,negative_high,annual_reset,False
2021-12-31,learned_market,state,nonnegative_low,annual_reset,False
2021-12-31,learned_market,state,nonnegative_high,annual_reset,False
2021-12-31,learned_market,global,all,annual_reset,False
2021-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2021-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2021-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2021-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2021-12-31,learned_vol_interaction,global,all,annual_reset,False
2021-12-31,learned_order_extension,state,negative_low,annual_reset,False
2021-12-31,learned_order_extension,state,negative_high,annual_reset,False
2021-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2021-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2021-12-31,learned_order_extension,global,all,annual_reset,False
2021-12-31,learned_order_offset,state,negative_low,annual_reset,False
2021-12-31,learned_order_offset,state,negative_high,annual_reset,False
2021-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2021-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2021-12-31,learned_order_offset,global,all,annual_reset,False
2022-03-31,learned_market,state,negative_low,insufficient_history,False
2022-03-31,learned_market,state,negative_high,insufficient_history,False
2022-03-31,learned_market,state,nonnegative_low,insufficient_history,False
2022-03-31,learned_market,state,nonnegative_high,insufficient_history,False
2022-03-31,learned_market,global,all,insufficient_history,False
2022-03-31,learned_vol_interaction,state,negative_low,insufficient_history,False
2022-03-31,learned_vol_interaction,state,negative_high,insufficient_history,False
2022-03-31,learned_vol_interaction,state,nonnegative_low,insufficient_history,False
2022-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_history,False
2022-03-31,learned_vol_interaction,global,all,insufficient_history,False
2022-03-31,learned_order_extension,state,negative_low,insufficient_history,False
2022-03-31,learned_order_extension,state,negative_high,insufficient_history,False
2022-03-31,learned_order_extension,state,nonnegative_low,insufficient_history,False
2022-03-31,learned_order_extension,state,nonnegative_high,insufficient_history,False
2022-03-31,learned_order_extension,global,all,insufficient_history,False
2022-03-31,learned_order_offset,state,negative_low,insufficient_history,False
2022-03-31,learned_order_offset,state,negative_high,insufficient_history,False
2022-03-31,learned_order_offset,state,nonnegative_low,insufficient_history,False
2022-03-31,learned_order_offset,state,nonnegative_high,insufficient_history,False
2022-03-31,learned_order_offset,global,all,insufficient_history,False
2022-06-30,learned_market,state,negative_low,insufficient_validation,False
2022-06-30,learned_market,state,negative_high,accepted,True
2022-06-30,learned_market,state,nonnegative_low,insufficient_state_train,False
2022-06-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2022-06-30,learned_market,global,all,brier_not_better,False
2022-06-30,learned_vol_interaction,state,negative_low,insufficient_validation,False
2022-06-30,learned_vol_interaction,state,negative_high,accepted,True
2022-06-30,learned_vol_interaction,state,nonnegative_low,insufficient_state_train,False
2022-06-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2022-06-30,learned_vol_interaction,global,all,brier_not_better,False
2022-06-30,learned_order_extension,state,negative_low,insufficient_validation,False
2022-06-30,learned_order_extension,state,negative_high,accepted,True
2022-06-30,learned_order_extension,state,nonnegative_low,insufficient_state_train,False
2022-06-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2022-06-30,learned_order_extension,global,all,brier_not_better,False
2022-06-30,learned_order_offset,state,negative_low,insufficient_validation,False
2022-06-30,learned_order_offset,state,negative_high,accepted,True
2022-06-30,learned_order_offset,state,nonnegative_low,insufficient_state_train,False
2022-06-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2022-06-30,learned_order_offset,global,all,brier_not_better,False
2022-09-30,learned_market,state,negative_low,insufficient_validation,False
2022-09-30,learned_market,state,negative_high,insufficient_validation,False
2022-09-30,learned_market,state,nonnegative_low,insufficient_state_train,False
2022-09-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2022-09-30,learned_market,global,all,accepted,True
2022-09-30,learned_vol_interaction,state,negative_low,insufficient_validation,False
2022-09-30,learned_vol_interaction,state,negative_high,insufficient_validation,False
2022-09-30,learned_vol_interaction,state,nonnegative_low,insufficient_state_train,False
2022-09-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2022-09-30,learned_vol_interaction,global,all,accepted,True
2022-09-30,learned_order_extension,state,negative_low,insufficient_validation,False
2022-09-30,learned_order_extension,state,negative_high,insufficient_validation,False
2022-09-30,learned_order_extension,state,nonnegative_low,insufficient_state_train,False
2022-09-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2022-09-30,learned_order_extension,global,all,accepted,True
2022-09-30,learned_order_offset,state,negative_low,insufficient_validation,False
2022-09-30,learned_order_offset,state,negative_high,insufficient_validation,False
2022-09-30,learned_order_offset,state,nonnegative_low,insufficient_state_train,False
2022-09-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2022-09-30,learned_order_offset,global,all,accepted,True
2022-12-31,learned_market,state,negative_low,annual_reset,False
2022-12-31,learned_market,state,negative_high,annual_reset,False
2022-12-31,learned_market,state,nonnegative_low,annual_reset,False
2022-12-31,learned_market,state,nonnegative_high,annual_reset,False
2022-12-31,learned_market,global,all,annual_reset,False
2022-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2022-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2022-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2022-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2022-12-31,learned_vol_interaction,global,all,annual_reset,False
2022-12-31,learned_order_extension,state,negative_low,annual_reset,False
2022-12-31,learned_order_extension,state,negative_high,annual_reset,False
2022-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2022-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2022-12-31,learned_order_extension,global,all,annual_reset,False
2022-12-31,learned_order_offset,state,negative_low,annual_reset,False
2022-12-31,learned_order_offset,state,negative_high,annual_reset,False
2022-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2022-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2022-12-31,learned_order_offset,global,all,annual_reset,False
2023-03-31,learned_market,state,negative_low,insufficient_validation,False
2023-03-31,learned_market,state,negative_high,insufficient_validation,False
2023-03-31,learned_market,state,nonnegative_low,brier_not_better,False
2023-03-31,learned_market,state,nonnegative_high,insufficient_state_train,False
2023-03-31,learned_market,global,all,brier_not_better,False
2023-03-31,learned_vol_interaction,state,negative_low,insufficient_validation,False
2023-03-31,learned_vol_interaction,state,negative_high,insufficient_validation,False
2023-03-31,learned_vol_interaction,state,nonnegative_low,brier_not_better,False
2023-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2023-03-31,learned_vol_interaction,global,all,brier_not_better,False
2023-03-31,learned_order_extension,state,negative_low,insufficient_validation,False
2023-03-31,learned_order_extension,state,negative_high,insufficient_validation,False
2023-03-31,learned_order_extension,state,nonnegative_low,brier_not_better,False
2023-03-31,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2023-03-31,learned_order_extension,global,all,brier_not_better,False
2023-03-31,learned_order_offset,state,negative_low,insufficient_validation,False
2023-03-31,learned_order_offset,state,negative_high,insufficient_validation,False
2023-03-31,learned_order_offset,state,nonnegative_low,brier_not_better,False
2023-03-31,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2023-03-31,learned_order_offset,global,all,brier_not_better,False
2023-06-30,learned_market,state,negative_low,insufficient_state_train,False
2023-06-30,learned_market,state,negative_high,insufficient_validation,False
2023-06-30,learned_market,state,nonnegative_low,brier_not_better,False
2023-06-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2023-06-30,learned_market,global,all,brier_not_better,False
2023-06-30,learned_vol_interaction,state,negative_low,insufficient_state_train,False
2023-06-30,learned_vol_interaction,state,negative_high,insufficient_validation,False
2023-06-30,learned_vol_interaction,state,nonnegative_low,brier_not_better,False
2023-06-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2023-06-30,learned_vol_interaction,global,all,brier_not_better,False
2023-06-30,learned_order_extension,state,negative_low,insufficient_state_train,False
2023-06-30,learned_order_extension,state,negative_high,insufficient_validation,False
2023-06-30,learned_order_extension,state,nonnegative_low,brier_not_better,False
2023-06-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2023-06-30,learned_order_extension,global,all,brier_not_better,False
2023-06-30,learned_order_offset,state,negative_low,insufficient_state_train,False
2023-06-30,learned_order_offset,state,negative_high,insufficient_validation,False
2023-06-30,learned_order_offset,state,nonnegative_low,brier_not_better,False
2023-06-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2023-06-30,learned_order_offset,global,all,brier_not_better,False
2023-09-30,learned_market,state,negative_low,accepted,True
2023-09-30,learned_market,state,negative_high,insufficient_validation,False
2023-09-30,learned_market,state,nonnegative_low,insufficient_validation,False
2023-09-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2023-09-30,learned_market,global,all,accepted,True
2023-09-30,learned_vol_interaction,state,negative_low,accepted,True
2023-09-30,learned_vol_interaction,state,negative_high,insufficient_validation,False
2023-09-30,learned_vol_interaction,state,nonnegative_low,insufficient_validation,False
2023-09-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2023-09-30,learned_vol_interaction,global,all,accepted,True
2023-09-30,learned_order_extension,state,negative_low,accepted,True
2023-09-30,learned_order_extension,state,negative_high,insufficient_validation,False
2023-09-30,learned_order_extension,state,nonnegative_low,insufficient_validation,False
2023-09-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2023-09-30,learned_order_extension,global,all,accepted,True
2023-09-30,learned_order_offset,state,negative_low,accepted,True
2023-09-30,learned_order_offset,state,negative_high,insufficient_validation,False
2023-09-30,learned_order_offset,state,nonnegative_low,insufficient_validation,False
2023-09-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2023-09-30,learned_order_offset,global,all,accepted,True
2023-12-31,learned_market,state,negative_low,annual_reset,False
2023-12-31,learned_market,state,negative_high,annual_reset,False
2023-12-31,learned_market,state,nonnegative_low,annual_reset,False
2023-12-31,learned_market,state,nonnegative_high,annual_reset,False
2023-12-31,learned_market,global,all,annual_reset,False
2023-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2023-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2023-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2023-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2023-12-31,learned_vol_interaction,global,all,annual_reset,False
2023-12-31,learned_order_extension,state,negative_low,annual_reset,False
2023-12-31,learned_order_extension,state,negative_high,annual_reset,False
2023-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2023-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2023-12-31,learned_order_extension,global,all,annual_reset,False
2023-12-31,learned_order_offset,state,negative_low,annual_reset,False
2023-12-31,learned_order_offset,state,negative_high,annual_reset,False
2023-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2023-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2023-12-31,learned_order_offset,global,all,annual_reset,False
2024-03-31,learned_market,state,negative_low,accepted,True
2024-03-31,learned_market,state,negative_high,insufficient_state_train,False
2024-03-31,learned_market,state,nonnegative_low,insufficient_validation,False
2024-03-31,learned_market,state,nonnegative_high,insufficient_state_train,False
2024-03-31,learned_market,global,all,brier_not_better,False
2024-03-31,learned_vol_interaction,state,negative_low,accepted,True
2024-03-31,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2024-03-31,learned_vol_interaction,state,nonnegative_low,insufficient_validation,False
2024-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2024-03-31,learned_vol_interaction,global,all,brier_not_better,False
2024-03-31,learned_order_extension,state,negative_low,accepted,True
2024-03-31,learned_order_extension,state,negative_high,insufficient_state_train,False
2024-03-31,learned_order_extension,state,nonnegative_low,insufficient_validation,False
2024-03-31,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2024-03-31,learned_order_extension,global,all,brier_not_better,False
2024-03-31,learned_order_offset,state,negative_low,accepted,True
2024-03-31,learned_order_offset,state,negative_high,insufficient_state_train,False
2024-03-31,learned_order_offset,state,nonnegative_low,insufficient_validation,False
2024-03-31,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2024-03-31,learned_order_offset,global,all,brier_not_better,False
2024-06-30,learned_market,state,negative_low,insufficient_validation,False
2024-06-30,learned_market,state,negative_high,insufficient_state_train,False
2024-06-30,learned_market,state,nonnegative_low,accepted,True
2024-06-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2024-06-30,learned_market,global,all,accepted,True
2024-06-30,learned_vol_interaction,state,negative_low,insufficient_validation,False
2024-06-30,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2024-06-30,learned_vol_interaction,state,nonnegative_low,accepted,True
2024-06-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2024-06-30,learned_vol_interaction,global,all,accepted,True
2024-06-30,learned_order_extension,state,negative_low,insufficient_validation,False
2024-06-30,learned_order_extension,state,negative_high,insufficient_state_train,False
2024-06-30,learned_order_extension,state,nonnegative_low,brier_not_better,False
2024-06-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2024-06-30,learned_order_extension,global,all,brier_not_better,False
2024-06-30,learned_order_offset,state,negative_low,insufficient_validation,False
2024-06-30,learned_order_offset,state,negative_high,insufficient_state_train,False
2024-06-30,learned_order_offset,state,nonnegative_low,brier_not_better,False
2024-06-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2024-06-30,learned_order_offset,global,all,brier_not_better,False
2024-09-30,learned_market,state,negative_low,brier_not_better,False
2024-09-30,learned_market,state,negative_high,insufficient_state_train,False
2024-09-30,learned_market,state,nonnegative_low,insufficient_validation,False
2024-09-30,learned_market,state,nonnegative_high,insufficient_state_train,False
2024-09-30,learned_market,global,all,direction_worse,False
2024-09-30,learned_vol_interaction,state,negative_low,brier_not_better,False
2024-09-30,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2024-09-30,learned_vol_interaction,state,nonnegative_low,insufficient_validation,False
2024-09-30,learned_vol_interaction,state,nonnegative_high,insufficient_state_train,False
2024-09-30,learned_vol_interaction,global,all,accepted,True
2024-09-30,learned_order_extension,state,negative_low,accepted,True
2024-09-30,learned_order_extension,state,negative_high,insufficient_state_train,False
2024-09-30,learned_order_extension,state,nonnegative_low,insufficient_validation,False
2024-09-30,learned_order_extension,state,nonnegative_high,insufficient_state_train,False
2024-09-30,learned_order_extension,global,all,accepted,True
2024-09-30,learned_order_offset,state,negative_low,accepted,True
2024-09-30,learned_order_offset,state,negative_high,insufficient_state_train,False
2024-09-30,learned_order_offset,state,nonnegative_low,insufficient_validation,False
2024-09-30,learned_order_offset,state,nonnegative_high,insufficient_state_train,False
2024-09-30,learned_order_offset,global,all,accepted,True
2024-12-31,learned_market,state,negative_low,annual_reset,False
2024-12-31,learned_market,state,negative_high,annual_reset,False
2024-12-31,learned_market,state,nonnegative_low,annual_reset,False
2024-12-31,learned_market,state,nonnegative_high,annual_reset,False
2024-12-31,learned_market,global,all,annual_reset,False
2024-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2024-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2024-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2024-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2024-12-31,learned_vol_interaction,global,all,annual_reset,False
2024-12-31,learned_order_extension,state,negative_low,annual_reset,False
2024-12-31,learned_order_extension,state,negative_high,annual_reset,False
2024-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2024-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2024-12-31,learned_order_extension,global,all,annual_reset,False
2024-12-31,learned_order_offset,state,negative_low,annual_reset,False
2024-12-31,learned_order_offset,state,negative_high,annual_reset,False
2024-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2024-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2024-12-31,learned_order_offset,global,all,annual_reset,False
2025-03-31,learned_market,state,negative_low,brier_not_better,False
2025-03-31,learned_market,state,negative_high,insufficient_state_train,False
2025-03-31,learned_market,state,nonnegative_low,insufficient_validation,False
2025-03-31,learned_market,state,nonnegative_high,insufficient_validation,False
2025-03-31,learned_market,global,all,brier_not_better,False
2025-03-31,learned_vol_interaction,state,negative_low,brier_not_better,False
2025-03-31,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2025-03-31,learned_vol_interaction,state,nonnegative_low,insufficient_validation,False
2025-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_validation,False
2025-03-31,learned_vol_interaction,global,all,brier_not_better,False
2025-03-31,learned_order_extension,state,negative_low,brier_not_better,False
2025-03-31,learned_order_extension,state,negative_high,insufficient_state_train,False
2025-03-31,learned_order_extension,state,nonnegative_low,insufficient_validation,False
2025-03-31,learned_order_extension,state,nonnegative_high,insufficient_validation,False
2025-03-31,learned_order_extension,global,all,brier_not_better,False
2025-03-31,learned_order_offset,state,negative_low,brier_not_better,False
2025-03-31,learned_order_offset,state,negative_high,insufficient_state_train,False
2025-03-31,learned_order_offset,state,nonnegative_low,insufficient_validation,False
2025-03-31,learned_order_offset,state,nonnegative_high,insufficient_validation,False
2025-03-31,learned_order_offset,global,all,brier_not_better,False
2025-06-30,learned_market,state,negative_low,accepted,True
2025-06-30,learned_market,state,negative_high,insufficient_state_train,False
2025-06-30,learned_market,state,nonnegative_low,insufficient_validation,False
2025-06-30,learned_market,state,nonnegative_high,insufficient_validation,False
2025-06-30,learned_market,global,all,brier_not_better,False
2025-06-30,learned_vol_interaction,state,negative_low,accepted,True
2025-06-30,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2025-06-30,learned_vol_interaction,state,nonnegative_low,insufficient_validation,False
2025-06-30,learned_vol_interaction,state,nonnegative_high,insufficient_validation,False
2025-06-30,learned_vol_interaction,global,all,brier_not_better,False
2025-06-30,learned_order_extension,state,negative_low,accepted,True
2025-06-30,learned_order_extension,state,negative_high,insufficient_state_train,False
2025-06-30,learned_order_extension,state,nonnegative_low,insufficient_validation,False
2025-06-30,learned_order_extension,state,nonnegative_high,insufficient_validation,False
2025-06-30,learned_order_extension,global,all,brier_not_better,False
2025-06-30,learned_order_offset,state,negative_low,accepted,True
2025-06-30,learned_order_offset,state,negative_high,insufficient_state_train,False
2025-06-30,learned_order_offset,state,nonnegative_low,insufficient_validation,False
2025-06-30,learned_order_offset,state,nonnegative_high,insufficient_validation,False
2025-06-30,learned_order_offset,global,all,brier_not_better,False
2025-09-30,learned_market,state,negative_low,insufficient_validation,False
2025-09-30,learned_market,state,negative_high,insufficient_state_train,False
2025-09-30,learned_market,state,nonnegative_low,insufficient_state_train,False
2025-09-30,learned_market,state,nonnegative_high,insufficient_validation,False
2025-09-30,learned_market,global,all,brier_not_better,False
2025-09-30,learned_vol_interaction,state,negative_low,insufficient_validation,False
2025-09-30,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2025-09-30,learned_vol_interaction,state,nonnegative_low,insufficient_state_train,False
2025-09-30,learned_vol_interaction,state,nonnegative_high,insufficient_validation,False
2025-09-30,learned_vol_interaction,global,all,brier_not_better,False
2025-09-30,learned_order_extension,state,negative_low,insufficient_validation,False
2025-09-30,learned_order_extension,state,negative_high,insufficient_state_train,False
2025-09-30,learned_order_extension,state,nonnegative_low,insufficient_state_train,False
2025-09-30,learned_order_extension,state,nonnegative_high,insufficient_validation,False
2025-09-30,learned_order_extension,global,all,brier_not_better,False
2025-09-30,learned_order_offset,state,negative_low,insufficient_validation,False
2025-09-30,learned_order_offset,state,negative_high,insufficient_state_train,False
2025-09-30,learned_order_offset,state,nonnegative_low,insufficient_state_train,False
2025-09-30,learned_order_offset,state,nonnegative_high,insufficient_validation,False
2025-09-30,learned_order_offset,global,all,brier_not_better,False
2025-12-31,learned_market,state,negative_low,annual_reset,False
2025-12-31,learned_market,state,negative_high,annual_reset,False
2025-12-31,learned_market,state,nonnegative_low,annual_reset,False
2025-12-31,learned_market,state,nonnegative_high,annual_reset,False
2025-12-31,learned_market,global,all,annual_reset,False
2025-12-31,learned_vol_interaction,state,negative_low,annual_reset,False
2025-12-31,learned_vol_interaction,state,negative_high,annual_reset,False
2025-12-31,learned_vol_interaction,state,nonnegative_low,annual_reset,False
2025-12-31,learned_vol_interaction,state,nonnegative_high,annual_reset,False
2025-12-31,learned_vol_interaction,global,all,annual_reset,False
2025-12-31,learned_order_extension,state,negative_low,annual_reset,False
2025-12-31,learned_order_extension,state,negative_high,annual_reset,False
2025-12-31,learned_order_extension,state,nonnegative_low,annual_reset,False
2025-12-31,learned_order_extension,state,nonnegative_high,annual_reset,False
2025-12-31,learned_order_extension,global,all,annual_reset,False
2025-12-31,learned_order_offset,state,negative_low,annual_reset,False
2025-12-31,learned_order_offset,state,negative_high,annual_reset,False
2025-12-31,learned_order_offset,state,nonnegative_low,annual_reset,False
2025-12-31,learned_order_offset,state,nonnegative_high,annual_reset,False
2025-12-31,learned_order_offset,global,all,annual_reset,False
2026-03-31,learned_market,state,negative_low,insufficient_validation,False
2026-03-31,learned_market,state,negative_high,insufficient_state_train,False
2026-03-31,learned_market,state,nonnegative_low,brier_not_better,False
2026-03-31,learned_market,state,nonnegative_high,insufficient_validation,False
2026-03-31,learned_market,global,all,brier_not_better,False
2026-03-31,learned_vol_interaction,state,negative_low,insufficient_validation,False
2026-03-31,learned_vol_interaction,state,negative_high,insufficient_state_train,False
2026-03-31,learned_vol_interaction,state,nonnegative_low,brier_not_better,False
2026-03-31,learned_vol_interaction,state,nonnegative_high,insufficient_validation,False
2026-03-31,learned_vol_interaction,global,all,brier_not_better,False
2026-03-31,learned_order_extension,state,negative_low,insufficient_validation,False
2026-03-31,learned_order_extension,state,negative_high,insufficient_state_train,False
2026-03-31,learned_order_extension,state,nonnegative_low,brier_not_better,False
2026-03-31,learned_order_extension,state,nonnegative_high,insufficient_validation,False
2026-03-31,learned_order_extension,global,all,brier_not_better,False
2026-03-31,learned_order_offset,state,negative_low,insufficient_validation,False
2026-03-31,learned_order_offset,state,negative_high,insufficient_state_train,False
2026-03-31,learned_order_offset,state,nonnegative_low,brier_not_better,False
2026-03-31,learned_order_offset,state,nonnegative_high,insufficient_validation,False
2026-03-31,learned_order_offset,global,all,brier_not_better,False
2026-06-30,learned_market,state,negative_low,insufficient_validation,False
2026-06-30,learned_market,state,negative_high,insufficient_state_train,False
2026-06-30,learned_market,state,nonnegative_low,insufficient_validation,False
2026-06-30,learned_market,state,nonnegative_high,accepted,True
2026-06-30,learned_market,global,all,accepted,True
