cutoff,method,seed,family,component,coefficient_gap
2022-06-30,learned_order_offset,20260912,state,negative_high,1.249000902703301e-16
2022-06-30,learned_order_offset,20260912,global,all,0.0
2022-09-30,learned_market,20260910,state,negative_low,1.8041124150158794e-16
2022-09-30,learned_market,20260910,state,negative_high,9.43689570931383e-16
2022-09-30,learned_market,20260910,global,all,1.1102230246251565e-16
2022-09-30,learned_market,20260911,state,negative_low,2.220446049250313e-16
2022-09-30,learned_market,20260911,state,negative_high,3.885780586188048e-16
2022-09-30,learned_market,20260911,global,all,5.551115123125783e-17
2022-09-30,learned_market,20260912,state,negative_low,0.0
2022-09-30,learned_market,20260912,state,negative_high,6.938893903907228e-18
2022-09-30,learned_market,20260912,global,all,0.0
2022-09-30,learned_vol_interaction,20260910,state,negative_low,2.220446049250313e-16
2022-09-30,learned_vol_interaction,20260910,state,negative_high,9.853229343548264e-16
2022-09-30,learned_vol_interaction,20260910,global,all,5.551115123125783e-17
2022-09-30,learned_vol_interaction,20260911,state,negative_low,2.7755575615628914e-16
2022-09-30,learned_vol_interaction,20260911,state,negative_high,3.608224830031759e-16
2022-09-30,learned_vol_interaction,20260911,global,all,0.0
2022-09-30,learned_vol_interaction,20260912,state,negative_low,6.938893903907228e-18
2022-09-30,learned_vol_interaction,20260912,state,negative_high,2.0816681711721685e-17
2022-09-30,learned_vol_interaction,20260912,global,all,2.7755575615628914e-17
2022-09-30,learned_order_extension,20260910,state,negative_low,1.6653345369377348e-16
2022-09-30,learned_order_extension,20260910,state,negative_high,8.326672684688674e-16
2022-09-30,learned_order_extension,20260910,global,all,1.6653345369377348e-16
2022-09-30,learned_order_extension,20260911,state,negative_low,1.1102230246251565e-16
2022-09-30,learned_order_extension,20260911,state,negative_high,2.914335439641036e-16
2022-09-30,learned_order_extension,20260911,global,all,1.1102230246251565e-16
2022-09-30,learned_order_extension,20260912,state,negative_low,6.938893903907228e-18
2022-09-30,learned_order_extension,20260912,state,negative_high,1.3877787807814457e-17
2022-09-30,learned_order_extension,20260912,global,all,0.0
2022-09-30,learned_order_offset,20260910,state,negative_low,1.5265566588595902e-16
2022-09-30,learned_order_offset,20260910,state,negative_high,7.91033905045424e-16
2022-09-30,learned_order_offset,20260910,global,all,5.551115123125783e-17
2022-09-30,learned_order_offset,20260911,state,negative_low,1.1102230246251565e-16
2022-09-30,learned_order_offset,20260911,state,negative_high,2.7755575615628914e-16
2022-09-30,learned_order_offset,20260911,global,all,1.1102230246251565e-16
2022-09-30,learned_order_offset,20260912,state,negative_low,6.938893903907228e-18
2022-09-30,learned_order_offset,20260912,state,negative_high,6.938893903907228e-18
2022-09-30,learned_order_offset,20260912,global,all,2.7755575615628914e-17
2023-03-31,learned_market,20260910,state,negative_low,0.0
2023-03-31,learned_market,20260910,state,negative_high,8.326672684688674e-16
2023-03-31,learned_market,20260910,state,nonnegative_low,2.7755575615628914e-17
2023-03-31,learned_market,20260910,global,all,0.0
2023-03-31,learned_market,20260911,state,negative_low,8.326672684688674e-17
2023-03-31,learned_market,20260911,state,negative_high,1.3877787807814457e-17
2023-03-31,learned_market,20260911,state,nonnegative_low,2.7755575615628914e-17
2023-03-31,learned_market,20260911,global,all,5.551115123125783e-17
2023-03-31,learned_market,20260912,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_market,20260912,state,negative_high,6.938893903907228e-18
2023-03-31,learned_market,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-03-31,learned_market,20260912,global,all,1.1102230246251565e-16
2023-03-31,learned_vol_interaction,20260910,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_vol_interaction,20260910,state,negative_high,6.661338147750939e-16
2023-03-31,learned_vol_interaction,20260910,state,nonnegative_low,0.0
2023-03-31,learned_vol_interaction,20260910,global,all,0.0
2023-03-31,learned_vol_interaction,20260911,state,negative_low,5.551115123125783e-17
2023-03-31,learned_vol_interaction,20260911,state,negative_high,1.3877787807814457e-17
2023-03-31,learned_vol_interaction,20260911,state,nonnegative_low,0.0
2023-03-31,learned_vol_interaction,20260911,global,all,5.551115123125783e-17
2023-03-31,learned_vol_interaction,20260912,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_vol_interaction,20260912,state,negative_high,2.7755575615628914e-17
2023-03-31,learned_vol_interaction,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-03-31,learned_vol_interaction,20260912,global,all,0.0
2023-03-31,learned_order_extension,20260910,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_order_extension,20260910,state,negative_high,5.273559366969494e-16
2023-03-31,learned_order_extension,20260910,state,nonnegative_low,2.7755575615628914e-17
2023-03-31,learned_order_extension,20260910,global,all,5.551115123125783e-17
2023-03-31,learned_order_extension,20260911,state,negative_low,0.0
2023-03-31,learned_order_extension,20260911,state,negative_high,0.0
2023-03-31,learned_order_extension,20260911,state,nonnegative_low,5.551115123125783e-17
2023-03-31,learned_order_extension,20260911,global,all,0.0
2023-03-31,learned_order_extension,20260912,state,negative_low,0.0
2023-03-31,learned_order_extension,20260912,state,negative_high,0.0
2023-03-31,learned_order_extension,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-03-31,learned_order_extension,20260912,global,all,5.551115123125783e-17
2023-03-31,learned_order_offset,20260910,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_order_offset,20260910,state,negative_high,5.551115123125783e-16
2023-03-31,learned_order_offset,20260910,state,nonnegative_low,0.0
2023-03-31,learned_order_offset,20260910,global,all,5.551115123125783e-17
2023-03-31,learned_order_offset,20260911,state,negative_low,2.7755575615628914e-17
2023-03-31,learned_order_offset,20260911,state,negative_high,1.3877787807814457e-17
2023-03-31,learned_order_offset,20260911,state,nonnegative_low,0.0
2023-03-31,learned_order_offset,20260911,global,all,1.1102230246251565e-16
2023-03-31,learned_order_offset,20260912,state,negative_low,0.0
2023-03-31,learned_order_offset,20260912,state,negative_high,2.0816681711721685e-17
2023-03-31,learned_order_offset,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-03-31,learned_order_offset,20260912,global,all,0.0
2023-06-30,learned_market,20260910,state,negative_high,3.3306690738754696e-16
2023-06-30,learned_market,20260910,state,nonnegative_low,1.3877787807814457e-17
2023-06-30,learned_market,20260910,global,all,0.0
2023-06-30,learned_market,20260911,state,negative_high,0.0
2023-06-30,learned_market,20260911,state,nonnegative_low,6.938893903907228e-18
2023-06-30,learned_market,20260911,global,all,0.0
2023-06-30,learned_market,20260912,state,negative_high,6.938893903907228e-18
2023-06-30,learned_market,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-06-30,learned_market,20260912,global,all,2.7755575615628914e-17
2023-06-30,learned_vol_interaction,20260910,state,negative_high,2.498001805406602e-16
2023-06-30,learned_vol_interaction,20260910,state,nonnegative_low,1.3877787807814457e-17
2023-06-30,learned_vol_interaction,20260910,global,all,0.0
2023-06-30,learned_vol_interaction,20260911,state,negative_high,0.0
2023-06-30,learned_vol_interaction,20260911,state,nonnegative_low,1.3877787807814457e-17
2023-06-30,learned_vol_interaction,20260911,global,all,5.551115123125783e-17
2023-06-30,learned_vol_interaction,20260912,state,negative_high,6.938893903907228e-18
2023-06-30,learned_vol_interaction,20260912,state,nonnegative_low,6.938893903907228e-18
2023-06-30,learned_vol_interaction,20260912,global,all,5.551115123125783e-17
2023-06-30,learned_order_extension,20260910,state,negative_high,2.0816681711721685e-16
2023-06-30,learned_order_extension,20260910,state,nonnegative_low,0.0
2023-06-30,learned_order_extension,20260910,global,all,0.0
2023-06-30,learned_order_extension,20260911,state,negative_high,1.3877787807814457e-17
2023-06-30,learned_order_extension,20260911,state,nonnegative_low,0.0
2023-06-30,learned_order_extension,20260911,global,all,2.7755575615628914e-17
2023-06-30,learned_order_extension,20260912,state,negative_high,6.938893903907228e-18
2023-06-30,learned_order_extension,20260912,state,nonnegative_low,6.938893903907228e-18
2023-06-30,learned_order_extension,20260912,global,all,2.7755575615628914e-17
2023-06-30,learned_order_offset,20260910,state,negative_high,1.6653345369377348e-16
2023-06-30,learned_order_offset,20260910,state,nonnegative_low,2.7755575615628914e-17
2023-06-30,learned_order_offset,20260910,global,all,5.551115123125783e-17
2023-06-30,learned_order_offset,20260911,state,negative_high,0.0
2023-06-30,learned_order_offset,20260911,state,nonnegative_low,0.0
2023-06-30,learned_order_offset,20260911,global,all,2.7755575615628914e-17
2023-06-30,learned_order_offset,20260912,state,negative_high,2.0816681711721685e-17
2023-06-30,learned_order_offset,20260912,state,nonnegative_low,2.0816681711721685e-17
2023-06-30,learned_order_offset,20260912,global,all,0.0
2023-09-30,learned_market,20260910,state,negative_low,0.0
2023-09-30,learned_market,20260910,state,negative_high,2.42861286636753e-17
2023-09-30,learned_market,20260910,state,nonnegative_low,6.938893903907228e-18
2023-09-30,learned_market,20260910,global,all,2.7755575615628914e-17
2023-09-30,learned_market,20260911,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_market,20260911,state,negative_high,6.938893903907228e-18
2023-09-30,learned_market,20260911,state,nonnegative_low,6.938893903907228e-18
2023-09-30,learned_market,20260911,global,all,0.0
2023-09-30,learned_market,20260912,state,negative_low,2.7755575615628914e-17
2023-09-30,learned_market,20260912,state,negative_high,6.938893903907228e-18
2023-09-30,learned_market,20260912,state,nonnegative_low,6.938893903907228e-18
2023-09-30,learned_market,20260912,global,all,2.7755575615628914e-17
2023-09-30,learned_vol_interaction,20260910,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_vol_interaction,20260910,state,negative_high,5.204170427930421e-18
2023-09-30,learned_vol_interaction,20260910,state,nonnegative_low,1.0408340855860843e-17
2023-09-30,learned_vol_interaction,20260910,global,all,0.0
2023-09-30,learned_vol_interaction,20260911,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_vol_interaction,20260911,state,negative_high,6.938893903907228e-18
2023-09-30,learned_vol_interaction,20260911,state,nonnegative_low,3.469446951953614e-18
2023-09-30,learned_vol_interaction,20260911,global,all,2.7755575615628914e-17
2023-09-30,learned_vol_interaction,20260912,state,negative_low,0.0
2023-09-30,learned_vol_interaction,20260912,state,negative_high,0.0
2023-09-30,learned_vol_interaction,20260912,state,nonnegative_low,1.3877787807814457e-17
2023-09-30,learned_vol_interaction,20260912,global,all,4.163336342344337e-17
2023-09-30,learned_order_extension,20260910,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_order_extension,20260910,state,negative_high,4.336808689942018e-18
2023-09-30,learned_order_extension,20260910,state,nonnegative_low,1.734723475976807e-17
2023-09-30,learned_order_extension,20260910,global,all,2.7755575615628914e-17
2023-09-30,learned_order_extension,20260911,state,negative_low,2.7755575615628914e-17
2023-09-30,learned_order_extension,20260911,state,negative_high,2.0816681711721685e-17
2023-09-30,learned_order_extension,20260911,state,nonnegative_low,1.3877787807814457e-17
2023-09-30,learned_order_extension,20260911,global,all,2.7755575615628914e-17
2023-09-30,learned_order_extension,20260912,state,negative_low,0.0
2023-09-30,learned_order_extension,20260912,state,negative_high,0.0
2023-09-30,learned_order_extension,20260912,state,nonnegative_low,1.8214596497756474e-17
2023-09-30,learned_order_extension,20260912,global,all,4.163336342344337e-17
2023-09-30,learned_order_offset,20260910,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_order_offset,20260910,state,negative_high,7.806255641895632e-18
2023-09-30,learned_order_offset,20260910,state,nonnegative_low,3.122502256758253e-17
2023-09-30,learned_order_offset,20260910,global,all,0.0
2023-09-30,learned_order_offset,20260911,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_order_offset,20260911,state,negative_high,6.938893903907228e-18
2023-09-30,learned_order_offset,20260911,state,nonnegative_low,3.469446951953614e-18
2023-09-30,learned_order_offset,20260911,global,all,0.0
2023-09-30,learned_order_offset,20260912,state,negative_low,1.3877787807814457e-17
2023-09-30,learned_order_offset,20260912,state,negative_high,1.0408340855860843e-17
2023-09-30,learned_order_offset,20260912,state,nonnegative_low,1.1275702593849246e-17
2023-09-30,learned_order_offset,20260912,global,all,1.3877787807814457e-17
2024-03-31,learned_market,20260910,state,negative_low,2.7755575615628914e-17
2024-03-31,learned_market,20260910,state,nonnegative_low,6.938893903907228e-18
2024-03-31,learned_market,20260910,global,all,2.7755575615628914e-17
2024-03-31,learned_market,20260911,state,negative_low,0.0
2024-03-31,learned_market,20260911,state,nonnegative_low,2.6020852139652106e-17
2024-03-31,learned_market,20260911,global,all,9.71445146547012e-17
2024-03-31,learned_market,20260912,state,negative_low,2.7755575615628914e-17
2024-03-31,learned_market,20260912,state,nonnegative_low,1.214306433183765e-17
2024-03-31,learned_market,20260912,global,all,4.440892098500626e-16
2024-03-31,learned_vol_interaction,20260910,state,negative_low,0.0
2024-03-31,learned_vol_interaction,20260910,state,nonnegative_low,1.3010426069826053e-17
2024-03-31,learned_vol_interaction,20260910,global,all,2.7755575615628914e-17
2024-03-31,learned_vol_interaction,20260911,state,negative_low,0.0
2024-03-31,learned_vol_interaction,20260911,state,nonnegative_low,1.5612511283791264e-17
2024-03-31,learned_vol_interaction,20260911,global,all,5.551115123125783e-17
2024-03-31,learned_vol_interaction,20260912,state,negative_low,2.7755575615628914e-17
2024-03-31,learned_vol_interaction,20260912,state,nonnegative_low,2.2551405187698492e-17
2024-03-31,learned_vol_interaction,20260912,global,all,3.3306690738754696e-16
2024-03-31,learned_order_extension,20260910,state,negative_low,0.0
2024-03-31,learned_order_extension,20260910,state,nonnegative_low,6.071532165918825e-18
2024-03-31,learned_order_extension,20260910,global,all,0.0
2024-03-31,learned_order_extension,20260911,state,negative_low,2.7755575615628914e-17
2024-03-31,learned_order_extension,20260911,state,nonnegative_low,1.214306433183765e-17
2024-03-31,learned_order_extension,20260911,global,all,9.71445146547012e-17
2024-03-31,learned_order_extension,20260912,state,negative_low,5.551115123125783e-17
2024-03-31,learned_order_extension,20260912,state,nonnegative_low,1.8214596497756474e-17
2024-03-31,learned_order_extension,20260912,global,all,4.718447854656915e-16
2024-03-31,learned_order_offset,20260910,state,negative_low,0.0
2024-03-31,learned_order_offset,20260910,state,nonnegative_low,4.336808689942018e-18
2024-03-31,learned_order_offset,20260910,global,all,2.7755575615628914e-17
2024-03-31,learned_order_offset,20260911,state,negative_low,0.0
2024-03-31,learned_order_offset,20260911,state,nonnegative_low,1.734723475976807e-18
2024-03-31,learned_order_offset,20260911,global,all,4.163336342344337e-17
2024-03-31,learned_order_offset,20260912,state,negative_low,5.551115123125783e-17
2024-03-31,learned_order_offset,20260912,state,nonnegative_low,2.0166160408230382e-17
2024-03-31,learned_order_offset,20260912,global,all,4.579669976578771e-16
2024-06-30,learned_market,20260910,state,negative_low,8.326672684688674e-17
2024-06-30,learned_market,20260910,state,nonnegative_low,6.938893903907228e-18
2024-06-30,learned_market,20260910,global,all,2.7755575615628914e-17
2024-06-30,learned_market,20260911,state,negative_low,2.7755575615628914e-17
2024-06-30,learned_market,20260911,state,nonnegative_low,0.0
2024-06-30,learned_market,20260911,global,all,2.7755575615628914e-17
2024-06-30,learned_market,20260912,state,negative_low,3.885780586188048e-16
2024-06-30,learned_market,20260912,state,nonnegative_low,2.7755575615628914e-17
2024-06-30,learned_market,20260912,global,all,8.326672684688674e-16
2024-06-30,learned_vol_interaction,20260910,state,negative_low,0.0
2024-06-30,learned_vol_interaction,20260910,state,nonnegative_low,0.0
2024-06-30,learned_vol_interaction,20260910,global,all,0.0
2024-06-30,learned_vol_interaction,20260911,state,negative_low,0.0
2024-06-30,learned_vol_interaction,20260911,state,nonnegative_low,1.3877787807814457e-17
2024-06-30,learned_vol_interaction,20260911,global,all,0.0
2024-06-30,learned_vol_interaction,20260912,state,negative_low,4.440892098500626e-16
2024-06-30,learned_vol_interaction,20260912,state,nonnegative_low,1.3877787807814457e-17
2024-06-30,learned_vol_interaction,20260912,global,all,8.604228440844963e-16
2024-06-30,learned_order_extension,20260910,state,negative_low,0.0
2024-06-30,learned_order_extension,20260910,state,nonnegative_low,2.7755575615628914e-17
2024-06-30,learned_order_extension,20260910,global,all,5.551115123125783e-17
2024-06-30,learned_order_extension,20260911,state,negative_low,2.7755575615628914e-17
2024-06-30,learned_order_extension,20260911,state,nonnegative_low,0.0
2024-06-30,learned_order_extension,20260911,global,all,5.551115123125783e-17
2024-06-30,learned_order_extension,20260912,state,negative_low,4.440892098500626e-16
2024-06-30,learned_order_extension,20260912,state,nonnegative_low,6.938893903907228e-18
2024-06-30,learned_order_extension,20260912,global,all,1.0269562977782698e-15
2024-06-30,learned_order_offset,20260910,state,negative_low,0.0
2024-06-30,learned_order_offset,20260910,state,nonnegative_low,2.0816681711721685e-17
2024-06-30,learned_order_offset,20260910,global,all,5.551115123125783e-17
2024-06-30,learned_order_offset,20260911,state,negative_low,2.7755575615628914e-17
2024-06-30,learned_order_offset,20260911,state,nonnegative_low,2.7755575615628914e-17
2024-06-30,learned_order_offset,20260911,global,all,0.0
2024-06-30,learned_order_offset,20260912,state,negative_low,4.440892098500626e-16
2024-06-30,learned_order_offset,20260912,state,nonnegative_low,0.0
2024-06-30,learned_order_offset,20260912,global,all,9.71445146547012e-16
2024-09-30,learned_market,20260910,state,negative_low,5.551115123125783e-17
2024-09-30,learned_market,20260910,state,nonnegative_low,6.938893903907228e-18
2024-09-30,learned_market,20260910,global,all,0.0
2024-09-30,learned_market,20260911,state,negative_low,0.0
2024-09-30,learned_market,20260911,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_market,20260911,global,all,5.551115123125783e-17
2024-09-30,learned_market,20260912,state,negative_low,3.0531133177191805e-16
2024-09-30,learned_market,20260912,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_market,20260912,global,all,1.7069679003611782e-15
2024-09-30,learned_vol_interaction,20260910,state,negative_low,2.7755575615628914e-17
2024-09-30,learned_vol_interaction,20260910,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_vol_interaction,20260910,global,all,2.7755575615628914e-17
2024-09-30,learned_vol_interaction,20260911,state,negative_low,2.7755575615628914e-17
2024-09-30,learned_vol_interaction,20260911,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_vol_interaction,20260911,global,all,0.0
2024-09-30,learned_vol_interaction,20260912,state,negative_low,3.608224830031759e-16
2024-09-30,learned_vol_interaction,20260912,state,nonnegative_low,2.0816681711721685e-17
2024-09-30,learned_vol_interaction,20260912,global,all,1.915134717478395e-15
2024-09-30,learned_order_extension,20260910,state,negative_low,5.551115123125783e-17
2024-09-30,learned_order_extension,20260910,state,nonnegative_low,0.0
2024-09-30,learned_order_extension,20260910,global,all,2.7755575615628914e-17
2024-09-30,learned_order_extension,20260911,state,negative_low,5.551115123125783e-17
2024-09-30,learned_order_extension,20260911,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_order_extension,20260911,global,all,2.7755575615628914e-17
2024-09-30,learned_order_extension,20260912,state,negative_low,3.885780586188048e-16
2024-09-30,learned_order_extension,20260912,state,nonnegative_low,2.7755575615628914e-17
2024-09-30,learned_order_extension,20260912,global,all,1.942890293094024e-16
2024-09-30,learned_order_offset,20260910,state,negative_low,5.551115123125783e-17
2024-09-30,learned_order_offset,20260910,state,nonnegative_low,6.938893903907228e-18
2024-09-30,learned_order_offset,20260910,global,all,5.551115123125783e-17
2024-09-30,learned_order_offset,20260911,state,negative_low,2.7755575615628914e-17
2024-09-30,learned_order_offset,20260911,state,nonnegative_low,1.3877787807814457e-17
2024-09-30,learned_order_offset,20260911,global,all,0.0
2024-09-30,learned_order_offset,20260912,state,negative_low,3.0531133177191805e-16
2024-09-30,learned_order_offset,20260912,state,nonnegative_low,2.7755575615628914e-17
2024-09-30,learned_order_offset,20260912,global,all,4.3021142204224816e-16
2025-03-31,learned_market,20260910,state,negative_low,5.551115123125783e-17
2025-03-31,learned_market,20260910,state,nonnegative_low,1.0408340855860843e-17
2025-03-31,learned_market,20260910,state,nonnegative_high,1.3877787807814457e-17
2025-03-31,learned_market,20260910,global,all,1.3877787807814457e-17
2025-03-31,learned_market,20260911,state,negative_low,5.551115123125783e-17
2025-03-31,learned_market,20260911,state,nonnegative_low,1.3877787807814457e-17
2025-03-31,learned_market,20260911,state,nonnegative_high,1.3877787807814457e-17
2025-03-31,learned_market,20260911,global,all,4.163336342344337e-17
2025-03-31,learned_market,20260912,state,negative_low,3.3306690738754696e-16
2025-03-31,learned_market,20260912,state,nonnegative_low,8.673617379884035e-18
2025-03-31,learned_market,20260912,state,nonnegative_high,3.8163916471489756e-17
2025-03-31,learned_market,20260912,global,all,5.551115123125783e-17
2025-03-31,learned_vol_interaction,20260910,state,negative_low,0.0
2025-03-31,learned_vol_interaction,20260910,state,nonnegative_low,1.0408340855860843e-17
2025-03-31,learned_vol_interaction,20260910,state,nonnegative_high,2.7755575615628914e-17
2025-03-31,learned_vol_interaction,20260910,global,all,0.0
2025-03-31,learned_vol_interaction,20260911,state,negative_low,2.7755575615628914e-17
2025-03-31,learned_vol_interaction,20260911,state,nonnegative_low,1.3877787807814457e-17
2025-03-31,learned_vol_interaction,20260911,state,nonnegative_high,0.0
2025-03-31,learned_vol_interaction,20260911,global,all,1.3877787807814457e-17
2025-03-31,learned_vol_interaction,20260912,state,negative_low,3.7470027081099033e-16
2025-03-31,learned_vol_interaction,20260912,state,nonnegative_low,3.469446951953614e-18
2025-03-31,learned_vol_interaction,20260912,state,nonnegative_high,0.0
2025-03-31,learned_vol_interaction,20260912,global,all,1.1102230246251565e-16
2025-03-31,learned_order_extension,20260910,state,negative_low,2.7755575615628914e-17
2025-03-31,learned_order_extension,20260910,state,nonnegative_low,1.0408340855860843e-17
2025-03-31,learned_order_extension,20260910,state,nonnegative_high,1.3877787807814457e-17
2025-03-31,learned_order_extension,20260910,global,all,4.163336342344337e-17
2025-03-31,learned_order_extension,20260911,state,negative_low,5.551115123125783e-17
2025-03-31,learned_order_extension,20260911,state,nonnegative_low,3.469446951953614e-18
2025-03-31,learned_order_extension,20260911,state,nonnegative_high,0.0
2025-03-31,learned_order_extension,20260911,global,all,2.7755575615628914e-17
2025-03-31,learned_order_extension,20260912,state,negative_low,8.326672684688674e-17
2025-03-31,learned_order_extension,20260912,state,nonnegative_low,4.336808689942018e-18
2025-03-31,learned_order_extension,20260912,state,nonnegative_high,6.938893903907228e-18
2025-03-31,learned_order_extension,20260912,global,all,1.5959455978986625e-16
2025-03-31,learned_order_offset,20260910,state,negative_low,0.0
2025-03-31,learned_order_offset,20260910,state,nonnegative_low,3.469446951953614e-18
2025-03-31,learned_order_offset,20260910,state,nonnegative_high,4.163336342344337e-17
2025-03-31,learned_order_offset,20260910,global,all,0.0
2025-03-31,learned_order_offset,20260911,state,negative_low,2.7755575615628914e-17
2025-03-31,learned_order_offset,20260911,state,nonnegative_low,1.0408340855860843e-17
2025-03-31,learned_order_offset,20260911,state,nonnegative_high,4.163336342344337e-17
2025-03-31,learned_order_offset,20260911,global,all,2.7755575615628914e-17
2025-03-31,learned_order_offset,20260912,state,negative_low,5.551115123125783e-17
2025-03-31,learned_order_offset,20260912,state,nonnegative_low,8.673617379884035e-18
2025-03-31,learned_order_offset,20260912,state,nonnegative_high,1.3877787807814457e-17
2025-03-31,learned_order_offset,20260912,global,all,1.734723475976807e-16
2025-06-30,learned_market,20260910,state,negative_low,3.469446951953614e-18
2025-06-30,learned_market,20260910,state,nonnegative_low,1.3877787807814457e-17
2025-06-30,learned_market,20260910,state,nonnegative_high,1.3877787807814457e-17
2025-06-30,learned_market,20260910,global,all,0.0
2025-06-30,learned_market,20260911,state,negative_low,3.469446951953614e-18
2025-06-30,learned_market,20260911,state,nonnegative_low,3.469446951953614e-18
2025-06-30,learned_market,20260911,state,nonnegative_high,6.938893903907228e-18
2025-06-30,learned_market,20260911,global,all,1.3877787807814457e-17
2025-06-30,learned_market,20260912,state,negative_low,2.7755575615628914e-17
2025-06-30,learned_market,20260912,state,nonnegative_low,8.673617379884035e-18
2025-06-30,learned_market,20260912,state,nonnegative_high,2.168404344971009e-17
2025-06-30,learned_market,20260912,global,all,3.469446951953614e-18
2025-06-30,learned_vol_interaction,20260910,state,negative_low,5.204170427930421e-18
2025-06-30,learned_vol_interaction,20260910,state,nonnegative_low,3.122502256758253e-17
2025-06-30,learned_vol_interaction,20260910,state,nonnegative_high,0.0
2025-06-30,learned_vol_interaction,20260910,global,all,1.3877787807814457e-17
2025-06-30,learned_vol_interaction,20260911,state,negative_low,6.938893903907228e-18
2025-06-30,learned_vol_interaction,20260911,state,nonnegative_low,1.0408340855860843e-17
2025-06-30,learned_vol_interaction,20260911,state,nonnegative_high,6.938893903907228e-18
2025-06-30,learned_vol_interaction,20260911,global,all,1.3877787807814457e-17
2025-06-30,learned_vol_interaction,20260912,state,negative_low,2.0816681711721685e-17
2025-06-30,learned_vol_interaction,20260912,state,nonnegative_low,1.0408340855860843e-17
2025-06-30,learned_vol_interaction,20260912,state,nonnegative_high,1.3877787807814457e-17
2025-06-30,learned_vol_interaction,20260912,global,all,1.3877787807814457e-17
2025-06-30,learned_order_extension,20260910,state,negative_low,1.0408340855860843e-17
2025-06-30,learned_order_extension,20260910,state,nonnegative_low,3.469446951953614e-18
2025-06-30,learned_order_extension,20260910,state,nonnegative_high,6.938893903907228e-18
2025-06-30,learned_order_extension,20260910,global,all,0.0
2025-06-30,learned_order_extension,20260911,state,negative_low,0.0
2025-06-30,learned_order_extension,20260911,state,nonnegative_low,1.3877787807814457e-17
2025-06-30,learned_order_extension,20260911,state,nonnegative_high,1.3877787807814457e-17
