cutoff,previous_cutoff,quarterly_cutoff,method,state,mode,extra_month,accepted,previous_accepted,quarterly_accepted,transition,reason,training_n,validation_n,future_n,future_brier_vs_annual,future_brier_vs_quarter,future_recoveries_vs_quarter,future_regressions_vs_quarter
2021-08-31,2021-07-31,2021-06-30,learned_market,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,3,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_market,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,4,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_vol_interaction,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,0,1,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_vol_interaction,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,7,6,3,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_vol_interaction,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,3,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_vol_interaction,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,4,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_extension,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,0,1,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_extension,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,7,6,3,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_extension,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,3,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_extension,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,4,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_offset,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,0,1,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_offset,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,7,6,3,0.0,0.0,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_offset,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,1,3,0,,,0,0
2021-08-31,2021-07-31,2021-06-30,learned_order_offset,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,4,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_market,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,0,3,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_market,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,8,9,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_market,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,1,1,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_market,nonnegative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,10,3,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_vol_interaction,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,0,3,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_vol_interaction,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,8,9,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_vol_interaction,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,1,1,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_vol_interaction,nonnegative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,10,3,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_extension,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,0,3,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_extension,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,8,9,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_extension,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,1,1,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_extension,nonnegative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,10,3,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_offset,negative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,0,3,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_offset,negative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,8,9,0,,,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_offset,nonnegative_low,insufficient_history,False,False,False,False,retained_off,insufficient_history,2,1,1,0.0,0.0,0,0
2021-09-30,2021-08-31,2021-09-30,learned_order_offset,nonnegative_high,insufficient_history,False,False,False,False,retained_off,insufficient_history,10,3,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_market,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,2,3,4,0.0,0.0,0,0
2021-10-31,2021-09-30,2021-09-30,learned_market,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,8,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_market,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,4,0,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_market,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,10,2,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_vol_interaction,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,2,3,4,0.0,0.0,0,0
2021-10-31,2021-09-30,2021-09-30,learned_vol_interaction,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,8,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_vol_interaction,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,4,0,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_vol_interaction,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,10,2,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_extension,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,2,3,4,0.0,0.0,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_extension,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,8,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_extension,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,4,0,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_extension,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,10,2,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_offset,negative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,2,3,4,0.0,0.0,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_offset,negative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,9,8,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_offset,nonnegative_low,insufficient_history,True,False,False,False,retained_off,insufficient_history,4,0,0,,,0,0
2021-10-31,2021-09-30,2021-09-30,learned_order_offset,nonnegative_high,insufficient_history,True,False,False,False,retained_off,insufficient_history,10,2,0,,,0,0
