period,history,reference_history,method,relation,n,changed_vs_quarter,monthly_active_weeks,quarterly_active_weeks,monthly_correct,quarterly_correct,recoveries,regressions,brier_difference
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_extension,both_active,35,20,35,35,17,17,0,0,0.0006851066282103326
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_extension,monthly_only,4,4,4,0,0,0,0,0,0.006857717889176038
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_extension,quarterly_only,7,7,0,7,2,4,0,2,0.013213776434520616
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_extension,neither,101,0,0,0,49,49,0,0,0.0
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_offset,all,147,31,39,42,68,70,0,2,0.0009786620680577313
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_offset,both_active,35,20,35,35,17,17,0,0,0.0006822142930702046
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_offset,monthly_only,4,4,4,0,0,0,0,0,0.006824570720488005
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_offset,quarterly_only,7,7,0,7,2,4,0,2,0.013241077266439619
extension_2021_2023,monthly_state_ungated,weekly_state_ungated,learned_order_offset,neither,101,0,0,0,49,49,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_market,all,125,10,10,6,68,68,0,0,0.0010912624898005126
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_market,both_active,3,0,3,3,1,1,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,7,7,7,0,3,3,0,0,0.004492843249180841
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,3,3,0,3,2,2,0,0,0.03498596949359939
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_market,neither,112,0,0,0,62,62,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,125,18,18,6,68,69,1,2,0.0012591424993452856
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,3,0,3,3,1,1,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,15,15,15,0,8,8,1,1,0.0032813956565702603
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,3,3,0,3,1,2,0,1,0.03605729252320227
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,104,0,0,0,58,58,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,all,125,21,18,3,71,73,1,3,0.001020628348650895
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,18,18,18,0,9,10,1,2,0.000924780427313366
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,3,3,0,3,1,2,0,1,0.036977498629907096
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,104,0,0,0,61,61,0,0,0.0
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,all,125,21,18,3,70,72,1,3,0.0010133211643294077
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,18,18,18,0,9,10,1,2,0.0008450944249184152
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,3,3,0,3,1,2,0,1,0.0371511486308815
recent_2024_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,104,0,0,0,60,60,0,0,0.0
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_market,all,125,34,66,62,70,68,2,0,-0.000898308866385339
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,62,30,62,62,30,29,1,0,-0.0012461546506693441
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,4,4,4,0,3,2,1,0,-0.00875675498916701
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_market,neither,59,0,0,0,37,37,0,0,0.0
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,125,34,66,62,71,70,1,0,-0.0008842667120299483
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,62,30,62,62,31,31,0,0,-0.0012484696982470347
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,4,4,4,0,3,2,1,0,-0.008282054428106846
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,neither,59,0,0,0,37,37,0,0,0.0
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,all,125,34,66,62,69,68,2,1,-0.0008529555485246997
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,both_active,62,30,62,62,29,28,2,1,-0.0012231016573198247
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,monthly_only,4,4,4,0,3,3,0,0,-0.007696785202939583
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,neither,59,0,0,0,37,37,0,0,0.0
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,all,125,34,66,62,68,67,2,1,-0.0008573157247016815
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,both_active,62,30,62,62,29,28,2,1,-0.001226804609995578
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,monthly_only,4,4,4,0,3,3,0,0,-0.0077756449419960905
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
recent_2024_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,neither,59,0,0,0,36,36,0,0,0.0
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_market,all,272,23,26,18,138,138,0,0,0.0006140285886837686
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_market,both_active,15,9,15,15,8,8,0,0,0.0004617889377021567
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,11,11,11,0,6,6,0,0,0.005011912143241321
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,3,3,0,3,2,2,0,0,0.03498596949359939
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_market,neither,243,0,0,0,122,122,0,0,0.0
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,272,30,33,18,138,141,1,4,0.0006782961083952641
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,15,9,15,15,7,7,0,0,0.0004529429233466627
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,18,18,18,0,9,11,1,3,0.0038628066702058386
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,3,3,0,3,1,2,0,1,0.03605729252320227
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,236,0,0,0,121,121,0,0,0.0
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,all,272,34,34,15,138,142,1,5,0.000588350595176604
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,12,9,12,12,6,6,0,0,0.0005282256179172084
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,22,22,22,0,10,13,1,4,0.001943643571968569
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,3,3,0,3,1,2,0,1,0.036977498629907096
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,235,0,0,0,121,121,0,0,0.0
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,all,272,34,34,15,137,141,1,5,0.0005837392941402308
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,12,9,12,12,6,6,0,0,0.0005176650970762225
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,22,22,22,0,10,13,1,4,0.0018687118612992556
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,3,3,0,3,1,2,0,1,0.0371511486308815
pooled_2021_2026,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,235,0,0,0,120,120,0,0,0.0
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_market,all,272,65,105,104,141,140,2,1,7.540557748938623e-05
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,97,50,97,97,50,49,1,0,-0.0005881002995064459
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,8,8,8,0,3,2,1,0,-0.0007812718792505301
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,7,7,0,7,3,4,0,1,0.011972317309034647
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_market,neither,160,0,0,0,85,85,0,0,0.0
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,272,65,105,104,140,141,1,2,0.00010710591648350368
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,97,50,97,97,48,48,0,0,-0.0005820115621656637
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,8,8,8,0,3,2,1,0,-0.0004610506550438258
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,quarterly_only,7,7,0,7,2,4,0,2,0.012753762293418998
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,neither,160,0,0,0,87,87,0,0,0.0
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,all,272,65,105,104,137,138,2,3,0.00013708306992692154
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,both_active,97,50,97,97,46,45,2,1,-0.0005345728944996647
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,monthly_only,8,8,8,0,3,3,0,0,-0.00041953365688177265
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,quarterly_only,7,7,0,7,2,4,0,2,0.013213776434520616
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_extension,neither,160,0,0,0,86,86,0,0,0.0
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,all,272,65,105,104,136,137,2,3,0.00013492227359108937
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,both_active,97,50,97,97,46,45,2,1,-0.0005379833563120481
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,monthly_only,8,8,8,0,3,3,0,0,-0.0004755371107540429
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,quarterly_only,7,7,0,7,2,4,0,2,0.013241077266439619
pooled_2021_2026,monthly_state_ungated,weekly_state_ungated,learned_order_offset,neither,160,0,0,0,85,85,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_market,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_market,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_market,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_order_extension,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_order_offset,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_market,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_market,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_extension,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_extension,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_extension,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_extension,neither,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_offset,all,50,0,0,0,29,29,0,0,0.0
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_offset,both_active,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_offset,monthly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
year_2021,monthly_state_ungated,weekly_state_ungated,learned_order_offset,neither,50,0,0,0,29,29,0,0,0.0
year_2022,monthly_state_validated,weekly_state_validated,learned_market,all,49,4,4,0,18,18,0,0,0.000483288384314054
year_2022,monthly_state_validated,weekly_state_validated,learned_market,both_active,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,4,4,4,0,3,3,0,0,0.005920282707847162
year_2022,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_market,neither,45,0,0,0,15,15,0,0,0.0
year_2022,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,49,3,3,0,19,21,0,2,0.0004144813309214529
year_2022,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,3,3,3,0,1,3,0,2,0.006769861738383731
year_2022,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,46,0,0,0,18,18,0,0,0.0
year_2022,monthly_state_validated,weekly_state_validated,learned_order_extension,all,49,4,4,0,17,19,0,2,0.000532941038605468
year_2022,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,4,4,4,0,1,3,0,2,0.0065285277229169825
year_2022,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,45,0,0,0,16,16,0,0,0.0
year_2022,monthly_state_validated,weekly_state_validated,learned_order_offset,all,49,4,4,0,17,19,0,2,0.0005285706387765745
year_2022,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,4,4,4,0,1,3,0,2,0.006474990325013037
year_2022,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,45,0,0,0,16,16,0,0,0.0
year_2022,monthly_state_ungated,weekly_state_ungated,learned_market,all,49,11,19,15,19,19,0,0,0.0005599819807735765
year_2022,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,15,7,15,15,8,8,0,0,-8.918185765057022e-05
year_2022,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,4,4,4,0,0,0,0,0,0.007194211230665951
year_2022,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_ungated,weekly_state_ungated,learned_market,neither,30,0,0,0,11,11,0,0,0.0
year_2022,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,49,11,19,15,19,19,0,0,0.0005732308009378359
year_2022,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,15,7,15,15,6,6,0,0,-9.010021507485458e-05
year_2022,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,4,4,4,0,0,0,0,0,0.007359953118019194
year_2022,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,neither,30,0,0,0,13,13,0,0,0.0
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_extension,all,49,11,19,15,18,18,0,0,0.0005397653372505844
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_extension,both_active,15,7,15,15,6,6,0,0,-6.549133542836741e-05
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_extension,monthly_only,4,4,4,0,0,0,0,0,0.006857717889176038
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_extension,neither,30,0,0,0,12,12,0,0,0.0
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_offset,all,49,11,19,15,18,18,0,0,0.000536652157728768
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_offset,both_active,15,7,15,15,6,6,0,0,-6.682181021615922e-05
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_offset,monthly_only,4,4,4,0,0,0,0,0,0.006824570720488005
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
year_2022,monthly_state_ungated,weekly_state_ungated,learned_order_offset,neither,30,0,0,0,12,12,0,0,0.0
year_2023,monthly_state_validated,weekly_state_validated,learned_market,all,48,9,12,12,23,23,0,0,0.00014430904303192396
year_2023,monthly_state_validated,weekly_state_validated,learned_market,both_active,12,9,12,12,7,7,0,0,0.0005772361721276958
year_2023,monthly_state_validated,weekly_state_validated,learned_market,monthly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_market,quarterly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_market,neither,36,0,0,0,16,16,0,0,0.0
year_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,all,48,9,12,12,22,22,0,0,0.0001415446635458321
year_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,both_active,12,9,12,12,6,6,0,0,0.0005661786541833284
year_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,monthly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,quarterly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_vol_interaction,neither,36,0,0,0,16,16,0,0,0.0
year_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,all,48,9,12,12,21,21,0,0,0.0001320564044793021
year_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,both_active,12,9,12,12,6,6,0,0,0.0005282256179172084
year_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,monthly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,quarterly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_order_extension,neither,36,0,0,0,15,15,0,0,0.0
year_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,all,48,9,12,12,21,21,0,0,0.00012941627426905564
year_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,both_active,12,9,12,12,6,6,0,0,0.0005176650970762225
year_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,monthly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,quarterly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_validated,weekly_state_validated,learned_order_offset,neither,36,0,0,0,15,15,0,0,0.0
year_2023,monthly_state_ungated,weekly_state_ungated,learned_market,all,48,20,20,27,23,24,0,1,0.0021949960066119825
year_2023,monthly_state_ungated,weekly_state_ungated,learned_market,both_active,20,13,20,20,12,12,0,0,0.001077679357706632
year_2023,monthly_state_ungated,weekly_state_ungated,learned_market,monthly_only,0,0,0,0,0,0,0,0,
year_2023,monthly_state_ungated,weekly_state_ungated,learned_market,quarterly_only,7,7,0,7,3,4,0,1,0.011972317309034647
year_2023,monthly_state_ungated,weekly_state_ungated,learned_market,neither,21,0,0,0,8,8,0,0,0.0
year_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,all,48,20,20,27,21,23,0,2,0.0023245383133604705
year_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,both_active,20,13,20,20,11,11,0,0,0.0011150751493684801
year_2023,monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,monthly_only,0,0,0,0,0,0,0,0,
