arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse,rule
combined,full,2018-12-31,20260912,13,1921,1921,16,1.0981582718736984,,,,legacy
combined,full,2018-12-31,20260912,14,1921,1921,16,1.0936407781032025,,,,legacy
combined,full,2018-12-31,20260912,15,1921,1921,16,1.091384597382528,,,,legacy
combined,full,2018-12-31,20260912,16,1921,1921,16,1.0823782440401004,,,,legacy
combined,full,2018-12-31,20260912,17,1921,1921,16,1.0679860573488869,,,,legacy
combined,full,2018-12-31,20260912,18,1921,1921,16,1.0628190816596794,,,,legacy
combined,full,2018-12-31,20260912,19,1921,1921,16,1.0562927037446466,,,,legacy
combined,full,2018-12-31,20260912,20,1921,1921,16,1.04431648587712,0.906809106151118,1.0478992718759146,0.0006756027690589,legacy
combined,full,2019-12-31,20260910,1,2165,2165,17,1.114298633119526,,,,legacy
combined,full,2019-12-31,20260910,2,2165,2165,17,1.1057737895302628,0.9999993744953676,1.02205192794976,0.0011237278410746,legacy
combined,full,2019-12-31,20260910,3,2165,2165,17,1.103771442408925,,,,legacy
combined,full,2019-12-31,20260910,4,2165,2165,17,1.1025928715360085,,,,legacy
combined,full,2019-12-31,20260910,5,2165,2165,17,1.1019479205922222,1.000246516661611,1.0093646782925718,0.0011215671429103,legacy
combined,full,2019-12-31,20260910,6,2165,2165,17,1.1022285876042848,,,,legacy
combined,full,2019-12-31,20260910,7,2165,2165,17,1.101616917251164,,,,legacy
combined,full,2019-12-31,20260910,8,2165,2165,17,1.100921076412289,,,,legacy
combined,full,2019-12-31,20260910,9,2165,2165,17,1.1013959226101706,,,,legacy
combined,full,2019-12-31,20260910,10,2165,2165,17,1.1006557777902546,0.9996195284378722,1.0008629867166077,0.0011231818874054,legacy
combined,full,2019-12-31,20260910,11,2165,2165,17,1.1003363274536837,,,,legacy
combined,full,2019-12-31,20260910,12,2165,2165,17,1.0999665760828772,,,,legacy
combined,full,2019-12-31,20260910,13,2165,2165,17,1.0983422927713284,,,,legacy
combined,full,2019-12-31,20260910,14,2165,2165,17,1.0931072927237109,,,,legacy
combined,full,2019-12-31,20260910,15,2165,2165,17,1.088979803221881,,,,legacy
combined,full,2019-12-31,20260910,16,2165,2165,17,1.0810378246439525,,,,legacy
combined,full,2019-12-31,20260910,17,2165,2165,17,1.069066411628459,,,,legacy
combined,full,2019-12-31,20260910,18,2165,2165,17,1.0618695451536024,,,,legacy
combined,full,2019-12-31,20260910,19,2165,2165,17,1.0537600890593497,,,,legacy
combined,full,2019-12-31,20260910,20,2165,2165,17,1.0355964412865408,0.908364110510564,1.0131354087494813,0.0011880440454671,legacy
combined,full,2019-12-31,20260911,1,2165,2165,17,1.1206783456560094,,,,legacy
combined,full,2019-12-31,20260911,2,2165,2165,17,1.105151841491805,1.000193673854061,1.0124659584521143,0.0011220544216739,legacy
combined,full,2019-12-31,20260911,3,2165,2165,17,1.104095899480595,,,,legacy
combined,full,2019-12-31,20260911,4,2165,2165,17,1.1021376460033532,,,,legacy
combined,full,2019-12-31,20260911,5,2165,2165,17,1.102046815792903,0.9993246972698536,1.0083127715571096,0.0011274333295979,legacy
combined,full,2019-12-31,20260911,6,2165,2165,17,1.1023024256179843,,,,legacy
combined,full,2019-12-31,20260911,7,2165,2165,17,1.1006489350669104,,,,legacy
combined,full,2019-12-31,20260911,8,2165,2165,17,1.1005577758057838,,,,legacy
combined,full,2019-12-31,20260911,9,2165,2165,17,1.0935055837895524,,,,legacy
combined,full,2019-12-31,20260911,10,2165,2165,17,1.0790149260338129,0.9608038534468372,1.015432395670761,0.0011972584273929,legacy
combined,full,2019-12-31,20260911,11,2165,2165,17,1.076726636324964,,,,legacy
combined,full,2019-12-31,20260911,12,2165,2165,17,1.072472666152355,,,,legacy
combined,full,2019-12-31,20260911,13,2165,2165,17,1.0605568433193358,,,,legacy
combined,full,2019-12-31,20260911,14,2165,2165,17,1.0503415723045209,,,,legacy
combined,full,2019-12-31,20260911,15,2165,2165,17,1.0448691235128231,,,,legacy
combined,full,2019-12-31,20260911,16,2165,2165,17,1.0425582743406847,,,,legacy
combined,full,2019-12-31,20260911,17,2165,2165,17,1.0392888794044424,,,,legacy
combined,full,2019-12-31,20260911,18,2165,2165,17,1.039036842857167,,,,legacy
combined,full,2019-12-31,20260911,19,2165,2165,17,1.0471690250324046,,,,legacy
combined,full,2019-12-31,20260911,20,2165,2165,17,1.014662686616664,0.8828610973049807,0.9772363464496427,0.0011824064717828,legacy
combined,full,2019-12-31,20260912,1,2165,2165,17,1.1190780217597998,,,,legacy
combined,full,2019-12-31,20260912,2,2165,2165,17,1.1069726644707607,1.0000457842961197,1.0198863340029816,0.0011260314803785,legacy
combined,full,2019-12-31,20260912,3,2165,2165,17,1.1040486939784837,,,,legacy
combined,full,2019-12-31,20260912,4,2165,2165,17,1.102915742876348,,,,legacy
combined,full,2019-12-31,20260912,5,2165,2165,17,1.1023576854282937,1.0001579822073356,1.001650997452593,0.0011278260765909,legacy
combined,full,2019-12-31,20260912,6,2165,2165,17,1.1016638482690684,,,,legacy
combined,full,2019-12-31,20260912,7,2165,2165,17,1.1009368303466338,,,,legacy
combined,full,2019-12-31,20260912,8,2165,2165,17,1.101474678268609,,,,legacy
combined,full,2019-12-31,20260912,9,2165,2165,17,1.1017675102995943,,,,legacy
combined,full,2019-12-31,20260912,10,2165,2165,17,1.1004555512796097,0.999529234641694,1.0005213237524584,0.0011238639667674,legacy
combined,full,2019-12-31,20260912,11,2165,2165,17,1.100215180421261,,,,legacy
combined,full,2019-12-31,20260912,12,2165,2165,17,1.099844397628555,,,,legacy
combined,full,2019-12-31,20260912,13,2165,2165,17,1.097275461555904,,,,legacy
combined,full,2019-12-31,20260912,14,2165,2165,17,1.0973374071627786,,,,legacy
combined,full,2019-12-31,20260912,15,2165,2165,17,1.0899529943565298,,,,legacy
combined,full,2019-12-31,20260912,16,2165,2165,17,1.0791883921237797,,,,legacy
combined,full,2019-12-31,20260912,17,2165,2165,17,1.0733789296403493,,,,legacy
combined,full,2019-12-31,20260912,18,2165,2165,17,1.06480065944839,,,,legacy
combined,full,2019-12-31,20260912,19,2165,2165,17,1.0495782872545802,,,,legacy
combined,full,2019-12-31,20260912,20,2165,2165,17,1.0398640435507336,0.9001538723776027,1.0392869663018278,0.0012364409326648,legacy
