method,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta,actual_up,head_cutoff,encoder_cutoff,year,case,signed_add_without_remove,signed_add_after_remove,signed_remove_without_add,signed_remove_after_add,signed_nonadditive,signed_add_effect,signed_remove_effect,signed_total_delta,dominant_adverse
learned_market,3759,2026-07-24,0.4855896136257898,0.5417383750812649,0.47619312760068944,0.5504630694990905,0.05614876145547506,0.07426994189840108,-0.009396486025100348,0.008724694417825677,0.018121180442926026,0.06520935167693807,-0.00033589580363733534,0.06487345587330073,0,2026-06-30,2025-12-31,2026,regression,-0.05614876145547506,-0.07426994189840108,0.009396486025100348,-0.008724694417825677,-0.018121180442926026,-0.06520935167693807,0.00033589580363733534,-0.06487345587330073,add
learned_market,3764,2026-07-31,0.3968670895698036,0.448158933197073,0.37569908502871013,0.4427571169601376,0.051291843627269386,0.06705803193142743,-0.02116800454109351,-0.005401816236935475,0.01576618830415803,0.0591749377793484,-0.013284910389014493,0.04589002739033391,1,2026-06-30,2025-12-31,2026,stable_wrong,0.051291843627269386,0.06705803193142743,-0.02116800454109351,-0.005401816236935475,0.01576618830415803,0.0591749377793484,-0.013284910389014493,0.04589002739033391,remove
learned_market,3769,2026-08-07,0.44995772150638885,0.5034539864829813,0.4384450849039216,0.5078856812645399,0.05349626497659249,0.06944059636061829,-0.011512636602467282,0.004431694781558526,0.015944331384025807,0.06146843066860539,-0.0035404709104543777,0.057927959758151015,0,2026-06-30,2025-12-31,2026,regression,-0.05349626497659249,-0.06944059636061829,0.011512636602467282,-0.004431694781558526,-0.015944331384025807,-0.06146843066860539,0.0035404709104543777,-0.057927959758151015,add
learned_market,3774,2026-08-14,0.48837964453678734,0.5505859232874339,0.48226101764587126,0.5589591274773172,0.062206278750646625,0.07669810983144594,-0.0061186268909160235,0.008373204189883299,0.014491831080799322,0.06945219429104628,0.0011272886494836376,0.07057948294052992,0,2026-06-30,2025-12-31,2026,regression,-0.062206278750646625,-0.07669810983144594,0.0061186268909160235,-0.008373204189883299,-0.014491831080799322,-0.06945219429104628,-0.0011272886494836376,-0.07057948294052992,add
learned_market,3779,2026-08-21,0.5212932595922709,0.5648217333180051,0.5008676538748592,0.5583689895097134,0.04352847372573415,0.0575013356348541,-0.020425605717411643,-0.006452743808291694,0.013972861909119949,0.050514904680294126,-0.013439174762851669,0.03707572991744246,0,2026-06-30,2025-12-31,2026,stable_wrong,-0.04352847372573415,-0.0575013356348541,0.020425605717411643,0.006452743808291694,-0.013972861909119949,-0.050514904680294126,0.013439174762851669,-0.03707572991744246,add
learned_order_extension,3630,2026-01-09,0.5270730519153454,0.5270730519153454,0.5270730519153454,0.5270730519153454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_wrong,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3635,2026-01-16,0.5427940701910273,0.5427940701910273,0.5427940701910273,0.5427940701910273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_wrong,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3640,2026-01-23,0.43399572619798676,0.43399572619798676,0.43399572619798676,0.43399572619798676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3645,2026-01-30,0.461283480401683,0.461283480401683,0.461283480401683,0.461283480401683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-12-31,2025-12-31,2026,stable_wrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
learned_order_extension,3650,2026-02-06,0.5032108679181002,0.5032108679181002,0.5032108679181002,0.5032108679181002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-12-31,2025-12-31,2026,stable_correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
learned_order_extension,3655,2026-02-13,0.4513957446141334,0.4513957446141334,0.4513957446141334,0.4513957446141334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3659,2026-02-27,0.5046193126640456,0.5046193126640456,0.5046193126640456,0.5046193126640456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_wrong,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3664,2026-03-06,0.5168188456275143,0.5168188456275143,0.5168188456275143,0.5168188456275143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-12-31,2025-12-31,2026,stable_correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
learned_order_extension,3669,2026-03-13,0.46907630660420546,0.46907630660420546,0.46907630660420546,0.46907630660420546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3674,2026-03-20,0.4484094398782026,0.4484094398782026,0.4484094398782026,0.4484094398782026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3679,2026-03-27,0.44382804359759526,0.44382804359759526,0.44382804359759526,0.44382804359759526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_extension,3684,2026-04-03,0.4721422509610274,0.48825680325183624,0.46102123560942276,0.4793924283363813,0.01611455229080881,0.018371192726958512,-0.011121015351604665,-0.008864374915454961,0.002256640436149704,0.01724287250888366,-0.009992695133529813,0.007250177375353846,1,2026-03-31,2025-12-31,2026,stable_wrong,0.01611455229080881,0.018371192726958512,-0.011121015351604665,-0.008864374915454961,0.002256640436149704,0.01724287250888366,-0.009992695133529813,0.007250177375353846,remove
learned_order_extension,3688,2026-04-10,0.44375946503679303,0.45958091676487384,0.41957641453223454,0.4397044658246061,0.015821451728080804,0.020128051292371534,-0.02418305050455845,-0.019876450940267725,0.004306599564290729,0.017974751510226167,-0.02202975072241309,-0.00405499921218692,1,2026-03-31,2025-12-31,2026,stable_wrong,0.015821451728080804,0.020128051292371534,-0.02418305050455845,-0.019876450940267725,0.004306599564290729,0.017974751510226167,-0.02202975072241309,-0.00405499921218692,remove
learned_order_extension,3693,2026-04-17,0.46054365813436954,0.46881684177114463,0.4504392386028387,0.4611396732430302,0.008273183636775113,0.010700434640191436,-0.010104419531530776,-0.007677168528114453,0.0024272510034163233,0.009486809138483274,-0.008890794029822615,0.0005960151086606599,1,2026-03-31,2025-12-31,2026,stable_wrong,0.008273183636775113,0.010700434640191436,-0.010104419531530776,-0.007677168528114453,0.0024272510034163233,0.009486809138483274,-0.008890794029822615,0.0005960151086606599,remove
learned_order_extension,3698,2026-04-24,0.4343183639133092,0.43926648512581323,0.4336702675650657,0.4386876342863284,0.004948121212504005,0.005017366721262702,-0.000648096348243495,-0.0005788508394847977,6.92455087586974e-05,0.004982743966883353,-0.0006134735938641463,0.004369270373019207,1,2026-03-31,2025-12-31,2026,stable_wrong,0.004948121212504005,0.005017366721262702,-0.000648096348243495,-0.0005788508394847977,6.92455087586974e-05,0.004982743966883353,-0.0006134735938641463,0.004369270373019207,remove
learned_order_extension,3705,2026-05-08,0.49801198787078843,0.47940487674835125,0.5234111683479897,0.5021533775120163,-0.018607111122437108,-0.021257790835973345,0.025399180477201282,0.022748500763665042,-0.002650679713536238,-0.019932450979205225,0.024073840620433162,0.004141389641227937,0,2026-03-31,2025-12-31,2026,regression,0.018607111122437108,0.021257790835973345,-0.025399180477201282,-0.022748500763665042,0.002650679713536238,0.019932450979205225,-0.024073840620433162,-0.004141389641227937,remove
learned_order_extension,3710,2026-05-15,0.5637090142568929,0.5517278514948749,0.5810634818478627,0.5661958113267308,-0.011981162762017994,-0.014867670521131951,0.01735446759096983,0.014467959831855873,-0.002886507759113958,-0.013424416641574973,0.015911213711412853,0.0024867970698378796,1,2026-03-31,2025-12-31,2026,stable_correct,-0.011981162762017994,-0.014867670521131951,0.01735446759096983,0.014467959831855873,-0.002886507759113958,-0.013424416641574973,0.015911213711412853,0.0024867970698378796,add
learned_order_extension,3715,2026-05-22,0.5050517409494192,0.4843012805018974,0.5156024113925631,0.49080932836323327,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,1,2026-03-31,2025-12-31,2026,regression,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,add
learned_order_extension,3720,2026-05-29,0.48909615917761434,0.4746516911751438,0.5065082122114334,0.4880340796323648,-0.014444468002470512,-0.01847413257906853,0.017412053033819003,0.013382388457220987,-0.004029664576598017,-0.01645930029076952,0.015397220745519996,-0.0010620795452495242,0,2026-03-31,2025-12-31,2026,stable_correct,0.014444468002470512,0.01847413257906853,-0.017412053033819003,-0.013382388457220987,0.004029664576598017,0.01645930029076952,-0.015397220745519996,0.0010620795452495242,remove
learned_order_extension,3725,2026-06-05,0.4137812365783611,0.41869236965738427,0.44708634666549846,0.4481864130558701,0.004911133079023133,0.0011000663903716346,0.03330511008713736,0.029494043398485863,-0.0038110666886514988,0.003005599734697384,0.03139957674281161,0.03440517647750899,1,2026-03-31,2025-12-31,2026,stable_wrong,0.004911133079023133,0.0011000663903716346,0.03330511008713736,0.029494043398485863,-0.0038110666886514988,0.003005599734697384,0.03139957674281161,0.03440517647750899,none
learned_order_extension,3730,2026-06-12,0.361384412795672,0.36114791746849223,0.390993922195586,0.3870890974076479,-0.00023649532717977725,-0.003904824787938105,0.02960950939991394,0.025941179939155613,-0.0036683294607583274,-0.002070660057558941,0.02777534466953478,0.025704684611975837,1,2026-03-31,2025-12-31,2026,stable_wrong,-0.00023649532717977725,-0.003904824787938105,0.02960950939991394,0.025941179939155613,-0.0036683294607583274,-0.002070660057558941,0.02777534466953478,0.025704684611975837,add
learned_order_extension,3739,2026-06-26,0.485782384985453,0.4812017660898944,0.5016074004589635,0.4952946609070736,-0.004580618895558626,-0.006312739551889861,0.015825015473510413,0.01409289481717918,-0.0017321206563312523,-0.005446679223724243,0.014958955145344796,0.009512275921620553,1,2026-03-31,2025-12-31,2026,stable_wrong,-0.004580618895558626,-0.006312739551889861,0.015825015473510413,0.01409289481717918,-0.0017321206563312523,-0.005446679223724243,0.014958955145344796,0.009512275921620553,add
learned_order_extension,3744,2026-07-03,0.49019228952696475,0.5537155508023205,0.5148029867136318,0.5814474209380495,0.06352326127535578,0.06664443422441761,0.02461069718666703,0.027731870135728864,0.0031211729490618345,0.0650838477498867,0.026171283661197947,0.09125513141108464,0,2026-06-30,2025-12-31,2026,regression,-0.06352326127535578,-0.06664443422441761,-0.02461069718666703,-0.027731870135728864,-0.0031211729490618345,-0.0650838477498867,-0.026171283661197947,-0.09125513141108464,add
learned_order_extension,3749,2026-07-10,0.4838752558028981,0.5437663492314114,0.5094401153828834,0.5757978224530517,0.05989109342851329,0.06635770707016826,0.02556485957998526,0.03203147322164024,0.0064666136416549795,0.06312440024934078,0.028798166400812748,0.09192256665015353,0,2026-06-30,2025-12-31,2026,regression,-0.05989109342851329,-0.06635770707016826,-0.02556485957998526,-0.03203147322164024,-0.0064666136416549795,-0.06312440024934078,-0.028798166400812748,-0.09192256665015353,add
learned_order_extension,3754,2026-07-17,0.48324475733931876,0.5372033938099988,0.4705568695866829,0.5431614725219555,0.05395863647068009,0.07260460293527256,-0.012687887752635796,0.005958078711956675,0.01864596646459245,0.06328161970297633,-0.0033649045203395602,0.05991671518263677,1,2026-06-30,2025-12-31,2026,recovery,0.05395863647068009,0.07260460293527256,-0.012687887752635796,0.005958078711956675,0.01864596646459245,0.06328161970297633,-0.0033649045203395602,0.05991671518263677,remove
learned_order_extension,3759,2026-07-24,0.486574276555423,0.557080033116007,0.4826602769932064,0.5707855771407592,0.070505756560584,0.08812530014755282,-0.003913999562216571,0.01370554402475225,0.017619543586968822,0.07931552835406841,0.0048957722312678404,0.08421130058533625,0,2026-06-30,2025-12-31,2026,regression,-0.070505756560584,-0.08812530014755282,0.003913999562216571,-0.01370554402475225,-0.017619543586968822,-0.07931552835406841,-0.0048957722312678404,-0.08421130058533625,add
learned_order_extension,3764,2026-07-31,0.42545717214675055,0.5001872964988139,0.4101092774516144,0.49972529987895015,0.07473012435206335,0.08961602242733581,-0.01534789469513618,-0.0004619966198637175,0.014885898075272463,0.08217307338969958,-0.007904945657499949,0.07426812773219964,1,2026-06-30,2025-12-31,2026,stable_wrong,0.07473012435206335,0.08961602242733581,-0.01534789469513618,-0.0004619966198637175,0.014885898075272463,0.08217307338969958,-0.007904945657499949,0.07426812773219964,remove
learned_order_extension,3769,2026-08-07,0.4240773181549858,0.5082662901274569,0.42772757245769016,0.5282070763250396,0.08418897197247104,0.10047950386734938,0.0036502543027043624,0.019940786197582716,0.016290531894878352,0.0923342379199102,0.01179552025014354,0.10412975817005375,0,2026-06-30,2025-12-31,2026,regression,-0.08418897197247104,-0.10047950386734938,-0.0036502543027043624,-0.019940786197582716,-0.016290531894878352,-0.0923342379199102,-0.01179552025014354,-0.10412975817005375,add
learned_order_extension,3774,2026-08-14,0.47911008879014627,0.5353750742201228,0.4749557445243486,0.5433653158218154,0.056264985429976544,0.06840957129746687,-0.004154344265797731,0.007990241601692594,0.012144585867490324,0.06233727836372171,0.0019179486679474316,0.06425522703166914,0,2026-06-30,2025-12-31,2026,regression,-0.056264985429976544,-0.06840957129746687,0.004154344265797731,-0.007990241601692594,-0.012144585867490324,-0.06233727836372171,-0.0019179486679474316,-0.06425522703166914,add
learned_order_extension,3779,2026-08-21,0.5012573968171736,0.5383702090904716,0.483081983646503,0.5322011283984139,0.03711281227329801,0.04911914475191095,-0.018175413170670618,-0.006169080692057682,0.012006332478612936,0.04311597851260448,-0.01217224693136415,0.030943731581240325,0,2026-06-30,2025-12-31,2026,stable_wrong,-0.03711281227329801,-0.04911914475191095,0.018175413170670618,0.006169080692057682,-0.012006332478612936,-0.04311597851260448,0.01217224693136415,-0.030943731581240325,add
learned_order_offset,3630,2026-01-09,0.5267078351488758,0.5267078351488758,0.5267078351488758,0.5267078351488758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_wrong,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_offset,3635,2026-01-16,0.5424641653115964,0.5424641653115964,0.5424641653115964,0.5424641653115964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_wrong,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_offset,3640,2026-01-23,0.4340846412987052,0.4340846412987052,0.4340846412987052,0.4340846412987052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
learned_order_offset,3645,2026-01-30,0.4613341944484573,0.4613341944484573,0.4613341944484573,0.4613341944484573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-12-31,2025-12-31,2026,stable_wrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
learned_order_offset,3650,2026-02-06,0.5032737294444042,0.5032737294444042,0.5032737294444042,0.5032737294444042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-12-31,2025-12-31,2026,stable_correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
learned_order_offset,3655,2026-02-13,0.45173679144500495,0.45173679144500495,0.45173679144500495,0.45173679144500495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-12-31,2025-12-31,2026,stable_correct,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
