period,method,case,n,annual_correct,both_correct,mean_add_without_remove,mean_add_after_remove,mean_remove_without_add,mean_remove_after_add,mean_nonadditive,mean_add_effect,mean_remove_effect,mean_total_delta,mean_signed_add_without_remove,mean_signed_add_after_remove,mean_signed_remove_without_add,mean_signed_remove_after_add,mean_signed_nonadditive,mean_signed_add_effect,mean_signed_remove_effect,mean_signed_total_delta,dominant_add,dominant_remove,dominant_tie,dominant_none
recent_2024_2026,learned_vol_interaction,stable_correct,61,61,61,0.003226708040415858,0.007475031278063604,-0.013610756536743308,-0.009362433299095562,0.004248323237647745,0.005350869659239731,-0.011486594917919432,-0.006135725258679705,0.0018470538739004407,0.0035356082229623057,-0.002165864381898238,-0.0004773100328363721,0.0016885543490618635,0.0026913310484313726,-0.001321587207367305,0.001369743841064067,15,15,0,31
recent_2024_2026,learned_vol_interaction,stable_wrong,53,0,0,0.008990357943379771,0.01340873512063693,-0.011903364877964862,-0.007484987700707708,0.0044183771772571545,0.011199546532008348,-0.009694176289336283,0.0015053702426720665,0.0016790382713784313,0.0024070992099026927,-0.008967188703505297,-0.008239127764981037,0.0007280609385242601,0.002043068740640561,-0.008603158234243168,-0.006560089493602605,12,26,0,15
pooled_2021_2026,learned_market,all,272,137,128,0.00034850103246870646,0.0016827508567129339,-0.0046898259681670655,-0.003355576143922839,0.0013342498242442274,0.00101562594459082,-0.0040227010560449535,-0.003007075111454132,-9.143820437445268e-05,7.123627016644186e-05,-0.0021255891758230395,-0.0019629147012821453,0.0001626744745408939,-1.0100967104005455e-05,-0.002044251938552593,-0.002054352905656598,68,86,0,118
pooled_2021_2026,learned_market,regression,19,19,0,0.015687615593640025,0.021039061128520612,-0.007807313472977721,-0.0024558679380971295,0.005351445534880589,0.01836333836108032,-0.005131590705537426,0.013231747655542891,-0.03045609735612701,-0.03679169257518225,-0.007715601852611736,-0.014051197071666974,-0.0063355952190552395,-0.033623894965654634,-0.010883399462139355,-0.04450729442779399,11,8,0,0
pooled_2021_2026,learned_market,recovery,10,0,10,-0.0029219319880777273,-0.001131495463534208,-0.01259943734032252,-0.010809000815779003,0.001790436524543515,-0.0020267137258059677,-0.011704219078050764,-0.013730932803856727,0.02206435097189473,0.024601738084965883,0.024837545446410505,0.027374932559481657,0.0025373871130711543,0.023333044528430307,0.026106239002946084,0.049439283531376395,0,2,0,8
pooled_2021_2026,learned_market,stable_correct,118,118,118,0.0009181813923083037,0.0020024040846463426,-0.004121584328395762,-0.003037361636057722,0.00108422269233804,0.0014602927384773224,-0.0035794729822267424,-0.002119180243749419,-0.004836458070483832,-0.004540926885469388,-0.003439398552965418,-0.0031438673679509742,0.0002955311850144432,-0.004688692477976609,-0.0032916329604581957,-0.007980325438434807,33,30,0,55
pooled_2021_2026,learned_market,stable_wrong,125,0,0,-0.0022591879988741975,-0.0013360212461511999,-0.004119619065607522,-0.003196452312884523,0.0009231667527229981,-0.001797604622512699,-0.0036580356892460214,-0.005455640311758722,0.007230825606197655,0.008065843328395711,-0.002192721966707437,-0.0013577042445093819,0.000835017722198055,0.007648334467296684,-0.0017752131056084095,0.005873121361688273,24,46,0,55
pooled_2021_2026,learned_order_extension,all,272,140,128,-0.0008930744282756598,0.0013270933503264123,-0.005690968022250706,-0.003470800243648632,0.0022201677786020733,0.0002170094610253764,-0.004580884132949668,-0.0043638746719242925,0.0013491014498040375,0.0015786249809226385,-0.002127644277190284,-0.0018981207460716835,0.00022952353111860117,0.0014638632153633378,-0.002012882511630984,-0.0005490192962676451,72,81,0,119
pooled_2021_2026,learned_order_extension,regression,25,25,0,0.018631962028920798,0.0223204656599057,0.007711483607238837,0.01139998723822374,0.003688503630984904,0.020476213844413244,0.009555735422731287,0.03003194926714454,-0.03693212358355152,-0.04263471571814117,-0.01636727329581713,-0.0220698654304068,-0.005702592134589664,-0.03978341965084635,-0.01921856936311197,-0.05900198901395831,19,6,0,0
pooled_2021_2026,learned_order_extension,recovery,13,0,13,-0.010723719893800897,-0.010558700589122163,-0.010824390714145905,-0.010659371409467173,0.00016501930467873146,-0.01064121024146153,-0.010741881061806539,-0.021383091303268067,0.04852423348719922,0.05220655860857103,0.03889771199348275,0.04258003711485454,0.003682325121371795,0.05036539604788512,0.04073887455416864,0.09110427060205374,0,1,0,12
