arm,job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
remove,remove_learned_order_offset_2022-03-31_20260910,brentq,True,11,,1.1102230246251565e-16,3.110576032860912e-16,1.27675647831893e-15
add,add_learned_market_2022-03-31_20260911,L-BFGS-B,True,77,1.202243872233666e-07,4.884981308350689e-15,1.629910385369908e-08,
add,add_learned_vol_interaction_2022-03-31_20260911,L-BFGS-B,True,80,5.233304867235944e-08,1.1102230246251565e-15,1.1555852895569173e-08,
add,add_learned_order_extension_2022-03-31_20260911,L-BFGS-B,True,80,7.701751325583928e-08,3.3306690738754696e-15,8.948205540361583e-09,
add,add_learned_order_offset_2022-03-31_20260911,brentq,True,11,,0.0,7.806255641895632e-18,9.772876952141019e-13
remove,remove_learned_market_2022-03-31_20260911,L-BFGS-B,True,79,5.2807106021290906e-08,3.774758283725532e-15,5.096509799447214e-09,
remove,remove_learned_vol_interaction_2022-03-31_20260911,L-BFGS-B,True,79,6.335972851934102e-08,2.7755575615628914e-15,6.176951449898133e-09,
remove,remove_learned_order_extension_2022-03-31_20260911,L-BFGS-B,True,86,8.667739537226993e-08,2.55351295663786e-15,6.035307268921833e-09,
remove,remove_learned_order_offset_2022-03-31_20260911,brentq,True,11,,0.0,1.2902005852577503e-17,6.938893903907228e-17
add,add_learned_market_2022-03-31_20260912,L-BFGS-B,True,77,9.305042425467036e-08,1.9984014443252818e-15,1.1905822257327753e-08,
add,add_learned_vol_interaction_2022-03-31_20260912,L-BFGS-B,True,74,7.761058035127277e-08,3.4416913763379853e-15,5.992679052643779e-09,
add,add_learned_order_extension_2022-03-31_20260912,L-BFGS-B,True,81,7.51020413636283e-08,2.3314683517128287e-15,9.576979004049992e-09,
add,add_learned_order_offset_2022-03-31_20260912,brentq,True,11,,0.0,1.20346441145891e-16,5.412337245047638e-16
remove,remove_learned_market_2022-03-31_20260912,L-BFGS-B,True,69,8.52859837197073e-08,3.552713678800501e-15,5.934024553417433e-09,
remove,remove_learned_vol_interaction_2022-03-31_20260912,L-BFGS-B,True,81,1.4087678856800068e-07,6.994405055138486e-15,1.0283567172179701e-08,
