method,seed,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta
learned_order_offset,20260910,3464,2025-05-09,0.3288144848914296,0.35515704472994086,0.3489364638187167,0.37550955906799693,0.026342559838511248,0.026573095249280254,0.020121978927287065,0.02035251433805607,0.00023053541076900608,0.02645782754389575,0.02023724663267157,0.04669507417656732
learned_order_offset,20260910,3469,2025-05-16,0.3043209517441266,0.30584945174178507,0.3163442486516592,0.3162020310017489,0.0015284999976584723,-0.0001422176499103478,0.012023296907532621,0.010352579259963801,-0.0016707176475688201,0.0006931411738740623,0.011187938083748211,0.011881079257622273
learned_order_offset,20260910,3474,2025-05-23,0.44478990167489674,0.45160083923962235,0.42683874071998945,0.4337158216572913,0.0068109375647256165,0.006877080937301827,-0.017951160954907286,-0.017885017582331075,6.614337257621061e-05,0.006844009251013722,-0.01791808926861918,-0.011074080017605459
learned_order_offset,20260910,3479,2025-05-30,0.3894673260808954,0.3925790434998421,0.37081521298887293,0.37328626677157306,0.003111717418946669,0.0024710537827001278,-0.01865211309202247,-0.019292776728269012,-0.0006406636362465412,0.0027913856008233984,-0.01897244491014574,-0.016181059309322343
learned_order_offset,20260910,3483,2025-06-06,0.4096952673269118,0.4389248715859193,0.4004712078371353,0.429818243197131,0.029229604259007502,0.02934703535999572,-0.009224059489776504,-0.009106628388788285,0.00011743110098821896,0.02928831980950161,-0.009165343939282394,0.020122975870219217
learned_order_offset,20260910,3488,2025-06-13,0.3998744310516097,0.44409953385363327,0.40966951020000425,0.45163332655068494,0.044225102802023575,0.041963816350680694,0.009795079148394559,0.007533792697051678,-0.002261286451342881,0.043094459576352134,0.008664435922723118,0.05175889549907525
learned_order_offset,20260910,3493,2025-06-20,0.43535837385464177,0.45073350609494406,0.42044545937875183,0.4347710993271614,0.015375132240302292,0.014325639948409574,-0.014912914475889938,-0.015962406767782655,-0.0010494922918927174,0.014850386094355933,-0.015437660621836297,-0.0005872745274803637
learned_order_offset,20260910,3498,2025-06-27,0.4097128200210753,0.3976086821662816,0.4536663902789277,0.433782534619457,-0.012104137854793695,-0.019883855659470706,0.0439535702578524,0.03617385245317539,-0.007779717804677011,-0.0159939967571322,0.0400637113555139,0.024069714598381697
learned_order_offset,20260910,3503,2025-07-04,0.7138049429629315,0.5821721093306433,0.7552072441420823,0.611125153468776,-0.13163283363228817,-0.14408209067330624,0.04140230117915078,0.02895304413813271,-0.01244925704101807,-0.1378574621527972,0.035177672658641745,-0.10267978949415546
learned_order_offset,20260910,3508,2025-07-11,0.8295391005206344,0.766523215924167,0.8033432684037494,0.7323158529987664,-0.06301588459646745,-0.07102741540498292,-0.02619583211688503,-0.0342073629254005,-0.008011530808515466,-0.06702165000072519,-0.030201597521142765,-0.09722324752186795
