job,iteration,objective,gradient_inf,last_step,last_backtracks,gamma,gradient,hessian
learned_order_offset_2021-09-30_20260910,1,0.6469253104636823,,,,-0.0013910619822540475,-4.9113713111063135e-09,0.22948695825576415
learned_order_offset_2021-09-30_20260910,2,0.6469253104636823,,,,-0.001391040580727144,4.7620192294636765e-18,0.22948695815199377
learned_market_2021-09-30_20260911,0,0.6878869432603338,0.09157385685554044,0.0,0.0,,,
learned_market_2021-09-30_20260911,1,0.6473070419915508,0.004038371580634416,1.0,0.0,,,
learned_market_2021-09-30_20260911,2,0.6471924707038006,3.685344473556857e-05,1.0,0.0,,,
learned_market_2021-09-30_20260911,3,0.6471924609184133,3.293147879390723e-09,1.0,0.0,,,
learned_market_2021-09-30_20260911,4,0.6471924609184133,4.423544863740858e-17,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260911,0,0.6878869432603338,0.09157385685554044,0.0,0.0,,,
learned_vol_interaction_2021-09-30_20260911,1,0.6470312715786815,0.004093915970887118,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260911,2,0.6469095230821412,4.00770496700501e-05,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260911,3,0.6469095106707725,4.357522718091006e-09,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260911,4,0.6469095106707722,5.833007687972014e-17,1.0,0.0,,,
learned_order_extension_2021-09-30_20260911,0,0.6878869432603338,0.09157385685554044,0.0,0.0,,,
learned_order_extension_2021-09-30_20260911,1,0.6466694718625063,0.004241116425215517,1.0,0.0,,,
learned_order_extension_2021-09-30_20260911,2,0.6465328215853876,4.795338084114323e-05,1.0,0.0,,,
learned_order_extension_2021-09-30_20260911,3,0.6465328014491125,9.180052462989807e-09,1.0,0.0,,,
learned_order_extension_2021-09-30_20260911,4,0.6465328014491118,3.5193202518879474e-16,1.0,0.0,,,
learned_order_offset_2021-09-30_20260911,0,0.6428595761940677,,,,0.0,0.01283786252056955,0.21917230995803308
learned_order_offset_2021-09-30_20260911,1,0.6424834222042592,,,,-0.058574290351859376,1.0162952690634147e-05,0.2187250424180627
