history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_net_quarter_head,learned_vol_interaction,2024,47,0.6808510638297872,0.3191489361702128,32,0.6754545454545455,0.40425531914893614,0.46808510638297873,13,19,6,9,0.7163636363636363,0.22321612638191485,0.6383293843996493,0.4702181444623069,0.09592813776686661,0.0021330380793281867,0.0
annual_net_quarter_head,learned_vol_interaction,2025,48,0.5,0.5,24,0.5555555555555556,0.2916666666666667,0.625,10,14,4,20,0.512962962962963,0.26814021125618653,0.7325777319717123,0.4543261874109099,0.08894379067093396,-0.1706738125890901,0.0
annual_net_quarter_head,learned_vol_interaction,2026,30,0.3333333333333333,0.6666666666666666,10,0.33035714285714285,0.4666666666666667,0.4666666666666667,4,6,10,10,0.36607142857142855,0.2646337368062573,0.7225135132827201,0.49933042059397975,0.04833939821160887,0.03266375392731308,0.0
annual_net_quarter_head,native_mse,2021,50,0.58,0.42,29,0.5917874396135265,0.64,0.46,17,12,15,6,0.6022544283413849,,,,,,
annual_net_quarter_head,native_mse,2022,49,0.40816326530612246,0.5918367346938775,20,0.45344827586206893,0.7551020408163265,0.40816326530612246,14,6,23,6,0.3620689655172414,,,,,,
annual_net_quarter_head,native_mse,2023,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
annual_net_quarter_head,native_mse,2024,47,0.5106382978723404,0.48936170212765956,24,0.5263636363636364,0.7446808510638298,0.46808510638297873,17,7,18,5,0.6418181818181818,,,,,,
annual_net_quarter_head,native_mse,2025,48,0.5416666666666666,0.4583333333333333,26,0.5888888888888889,0.3333333333333333,0.625,12,14,4,18,0.4962962962962963,,,,,,
annual_net_quarter_head,native_mse,2026,30,0.5333333333333333,0.4666666666666667,16,0.5089285714285714,0.13333333333333333,0.4666666666666667,2,14,2,12,0.5446428571428571,,,,,,
annual_net_quarter_head,training_frequency,2021,50,0.46,0.54,23,0.5,1.0,0.46,23,0,27,0,0.47665056360708535,0.25727818221753673,0.7077730923086324,0.5540582848766072,0.002259084123279152,0.09405828487660722,0.0
annual_net_quarter_head,training_frequency,2022,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.39482758620689656,0.25789333176809665,0.7089673793496496,0.5288005669551457,0.011759480575323231,0.1206373016490232,0.0
annual_net_quarter_head,training_frequency,2023,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.25240049188040886,0.6979489182052795,0.5076554018153036,0.0037550546296298976,0.11182206848197024,0.0
annual_net_quarter_head,training_frequency,2024,47,0.5531914893617021,0.44680851063829785,26,0.5363636363636364,0.23404255319148937,0.46808510638297873,6,20,5,16,0.5018181818181818,0.2492572517382996,0.6916619351446952,0.4868013466733671,0.010662869416370482,0.018716240290388375,0.0
annual_net_quarter_head,training_frequency,2025,48,0.375,0.625,18,0.5,0.0,0.625,0,18,0,30,0.4824074074074074,0.2569061907763793,0.706973360120501,0.47473072913441094,0.004731338843820485,-0.15026927086558906,0.0
annual_net_quarter_head,training_frequency,2026,30,0.5333333333333333,0.4666666666666667,16,0.5,0.0,0.4666666666666667,0,16,0,14,0.23660714285714285,0.2505097626235862,0.6941685991211358,0.48234928164640073,0.005134461311004814,0.015682614979734055,0.0
annual_quarter_half,learned_market,2021,50,0.6,0.4,30,0.6135265700483092,0.66,0.46,18,12,15,5,0.5652173913043478,0.2554218785837952,0.7071327012649953,0.5457916099285672,0.10075914570981573,0.08579160992856721,0.0
annual_quarter_half,learned_market,2022,49,0.3469387755102041,0.6530612244897959,17,0.40172413793103445,0.8163265306122449,0.40816326530612246,14,3,26,6,0.36379310344827587,0.29213388337391977,0.7800761113932331,0.571264593384236,0.08025762329374835,0.1631013280781135,0.0
annual_quarter_half,learned_market,2023,48,0.5208333333333334,0.4791666666666667,25,0.5036297640653358,0.4166666666666667,0.3958333333333333,8,17,12,11,0.4664246823956443,0.2600306072073846,0.7142310556554751,0.48703759734421076,0.08356226052553262,0.09120426401087744,0.0
annual_quarter_half,learned_market,2024,47,0.6595744680851063,0.3404255319148936,31,0.6527272727272727,0.3829787234042553,0.46808510638297873,12,19,6,10,0.6727272727272727,0.22828349796551967,0.6487607590520893,0.47753759676406793,0.09243104412406525,0.009452490381089196,0.0
annual_quarter_half,learned_market,2025,48,0.5208333333333334,0.4791666666666667,25,0.55,0.3958333333333333,0.625,13,12,6,17,0.5259259259259259,0.26007853933962854,0.7141979497527187,0.4756184577898106,0.076799564241848,-0.1493815422101894,0.0
annual_quarter_half,learned_market,2026,30,0.3333333333333333,0.6666666666666666,10,0.33035714285714285,0.4666666666666667,0.4666666666666667,4,6,10,10,0.28125,0.2671208495938227,0.7275061237313293,0.49117881251169826,0.05010761044614692,0.024512145845031585,0.0
annual_quarter_half,learned_order_extension,2021,50,0.58,0.42,29,0.5950080515297906,0.68,0.46,18,11,16,5,0.5475040257648953,0.25813558907661277,0.7141704223354456,0.542945688817243,0.11753412277841771,0.08294568881724301,0.0
annual_quarter_half,learned_order_extension,2022,49,0.3673469387755102,0.6326530612244898,18,0.41120689655172415,0.7551020408163265,0.40816326530612246,13,5,24,7,0.3689655172413793,0.2915589707169058,0.778683940813508,0.5665389380913667,0.08432844492153864,0.15837567278524423,0.0
annual_quarter_half,learned_order_extension,2023,48,0.5208333333333334,0.4791666666666667,25,0.5127041742286751,0.4583333333333333,0.3958333333333333,9,16,13,10,0.47368421052631576,0.25683447574357876,0.7074144383125466,0.4908853936784588,0.07356552493822899,0.09505206034512548,0.0
