job,method,cutoff,seed,split,n,interaction_coefficient,raw_product_coefficient,interaction_feature_mean,interaction_feature_std,refitted_additive_mean,interaction_logit_mean,interaction_logit_std,total_logit_mean
learned_hmm_interaction_2015-12-31_20260912,learned_hmm_interaction,2015-12-31,20260912,training,1190,-0.003072263767437498,-0.017362496670893197,-1.791284207798572e-17,1.0000000000000002,0.013792950600966627,6.997203936713172e-20,0.0030722637674374985,0.013792950600966603
learned_hmm_interaction_2015-12-31_20260912,learned_hmm_interaction,2015-12-31,20260912,validation,48,-0.003072263767437498,-0.017362496670893197,0.051643997642021454,1.4310093826319543,-0.13388228203939292,-0.00015866398276121024,0.0043964382771232565,-0.13404094602215413
learned_hmm_interaction_2016-12-31_20260910,learned_hmm_interaction,2016-12-31,20260910,training,1434,0.16254941785148647,0.5746165525714466,0.0,1.0,0.03527731931355712,-1.2387425658300212e-18,0.16254941785148647,0.03527731931355712
learned_hmm_interaction_2016-12-31_20260910,learned_hmm_interaction,2016-12-31,20260910,validation,50,0.16254941785148647,0.5746165525714466,-0.2317038291506566,0.7546911357825965,-0.2608771566843717,-0.03766332254239951,0.1226746047791382,-0.2985404792267711
learned_hmm_interaction_2016-12-31_20260911,learned_hmm_interaction,2016-12-31,20260911,training,1434,0.06699128449112968,0.2960542681900647,-4.954970263320085e-18,1.0,0.0300274212964576,-6.193712829150106e-19,0.06699128449112968,0.030027421296457604
learned_hmm_interaction_2016-12-31_20260911,learned_hmm_interaction,2016-12-31,20260911,validation,50,0.06699128449112968,0.2960542681900647,-0.15555319046971383,0.5881152598983131,-0.22218363437405364,-0.010420708036259482,0.03939859668942257,-0.23260434241031314
learned_hmm_interaction_2016-12-31_20260912,learned_hmm_interaction,2016-12-31,20260912,training,1434,0.02521948191582743,0.15525501936609085,1.981988105328034e-17,1.0,0.028078950830643722,3.096856414575053e-19,0.025219481915827433,0.028078950830643705
learned_hmm_interaction_2016-12-31_20260912,learned_hmm_interaction,2016-12-31,20260912,validation,50,0.02521948191582743,0.15525501936609085,-0.22008608016906742,0.7395728519602428,-0.16327846348139471,-0.005550456918749141,0.01865164416544826,-0.16882892040014383
learned_hmm_interaction_2017-12-31_20260910,learned_hmm_interaction,2017-12-31,20260910,training,1678,0.129205699500211,0.4265015955503564,-1.693784828987128e-17,0.9999999999999999,0.07838234071525599,-1.058615518116955e-18,0.12920569950021096,0.07838234071525597
learned_hmm_interaction_2017-12-31_20260910,learned_hmm_interaction,2017-12-31,20260910,validation,49,0.129205699500211,0.4265015955503564,0.21768318652008117,0.6348404953014476,0.2326859502937212,0.02812590838376199,0.08202501026648396,0.2608118586774832
learned_hmm_interaction_2017-12-31_20260911,learned_hmm_interaction,2017-12-31,20260911,training,1678,0.1024942421694955,0.37155015365488786,-8.46892414493564e-18,1.0000000000000002,0.08644238563109306,-2.11723103623391e-18,0.10249424216949551,0.08644238563109306
learned_hmm_interaction_2017-12-31_20260911,learned_hmm_interaction,2017-12-31,20260911,validation,49,0.1024942421694955,0.37155015365488786,0.07238628097472363,0.8106550755432818,0.17192433005686986,0.007419177011972467,0.08308747762866378,0.17934350706884242
learned_hmm_interaction_2017-12-31_20260912,learned_hmm_interaction,2017-12-31,20260912,training,1678,0.13791027195153904,0.45293036983885687,-2.11723103623391e-18,0.9999999999999997,0.09287943459262134,-5.293077590584775e-19,0.13791027195153902,0.09287943459262134
learned_hmm_interaction_2017-12-31_20260912,learned_hmm_interaction,2017-12-31,20260912,validation,49,0.13791027195153904,0.45293036983885687,-0.07298604500671313,0.9085090753457118,0.14006601388434092,-0.010065525315543068,0.1252927336513684,0.13000048856879787
learned_hmm_interaction_2018-12-31_20260910,learned_hmm_interaction,2018-12-31,20260910,training,1921,0.06930881347878969,0.18876442024088244,-7.397633896513276e-18,1.0,0.052189535126136576,-4.623521185320798e-19,0.0693088134787897,0.05218953512613657
learned_hmm_interaction_2018-12-31_20260910,learned_hmm_interaction,2018-12-31,20260910,validation,46,0.06930881347878969,0.18876442024088244,0.2832939910384754,0.9289980889194438,-0.15230185023162188,0.019634770384547605,0.0643877552670698,-0.1326670798470743
learned_hmm_interaction_2018-12-31_20260911,learned_hmm_interaction,2018-12-31,20260911,training,1921,0.043556039519070194,0.1465944144953626,-7.397633896513276e-18,1.0,0.04938359313995862,0.0,0.043556039519070194,0.049383593139958624
learned_hmm_interaction_2018-12-31_20260911,learned_hmm_interaction,2018-12-31,20260911,validation,46,0.043556039519070194,0.1465944144953626,0.22660470449673437,0.9132210710909996,-0.09049256349986015,0.009870003464266986,0.03977629306208719,-0.08062256003559316
learned_hmm_interaction_2018-12-31_20260912,learned_hmm_interaction,2018-12-31,20260912,training,1921,-0.046547172260196674,-0.16329422294412274,1.1096450844769914e-17,1.0,0.04939830745534962,0.0,0.04654717226019668,0.04939830745534961
learned_hmm_interaction_2018-12-31_20260912,learned_hmm_interaction,2018-12-31,20260912,validation,46,-0.046547172260196674,-0.16329422294412274,0.04000240364939263,0.9201096763154442,0.07314350055404537,-0.0018619987734901997,0.04282850360172878,0.07128150178055515
learned_hmm_interaction_2019-12-31_20260910,learned_hmm_interaction,2019-12-31,20260910,training,2165,0.06162905975087309,0.22270986635006845,6.563905180231872e-18,1.0,0.09393592364643846,0.0,0.0616290597508731,0.09393592364643848
learned_hmm_interaction_2019-12-31_20260910,learned_hmm_interaction,2019-12-31,20260910,validation,46,0.06162905975087309,0.22270986635006845,-0.39407890791672473,1.4925868764340853,0.06436883197528366,-0.02428671256255865,0.09198672579112527,0.04008211941272503
learned_hmm_interaction_2019-12-31_20260911,learned_hmm_interaction,2019-12-31,20260911,training,2165,0.06004798161593876,0.1898642823617916,0.0,1.0,0.10192377452371557,-4.10244073764492e-19,0.06004798161593876,0.10192377452371558
learned_hmm_interaction_2019-12-31_20260911,learned_hmm_interaction,2019-12-31,20260911,validation,46,0.06004798161593876,0.1898642823617916,0.15182189663495718,1.2463523548923476,0.07879013007576004,0.009116598458032863,0.07484094329355769,0.08790672853379287
learned_hmm_interaction_2019-12-31_20260912,learned_hmm_interaction,2019-12-31,20260912,training,2165,0.03686582301178661,0.12820048428081648,-1.3127810360463745e-17,0.9999999999999999,0.09566176520352995,-2.05122036882246e-19,0.03686582301178661,0.09566176520352995
learned_hmm_interaction_2019-12-31_20260912,learned_hmm_interaction,2019-12-31,20260912,validation,46,0.03686582301178661,0.12820048428081648,-0.2394141906949061,0.9967739426802011,0.20641970246283742,-0.008826201180668538,0.03674689175360903,0.1975935012821689
raw_hmm_interaction_2014-12-31_-1,raw_hmm_interaction,2014-12-31,-1,training,1077,0.01059274577663971,0.03771713559330561,-1.8142920365276466e-17,1.0,-0.026562108985486475,-2.319407433060912e-19,0.01059274577663971,-0.02656210898548648
raw_hmm_interaction_2014-12-31_-1,raw_hmm_interaction,2014-12-31,-1,validation,22,0.01059274577663971,0.03771713559330561,0.5903180570818656,1.8834412306188721,-0.46454167849786915,0.00625308910602809,0.019950814141187153,-0.4582885893918412
raw_hmm_interaction_2015-12-31_-1,raw_hmm_interaction,2015-12-31,-1,training,1190,0.0031010417609116155,0.017500833182596903,-4.47821051949643e-18,1.0,0.016946565664103838,-2.332401312237724e-20,0.0031010417609116155,0.01694656566410384
raw_hmm_interaction_2015-12-31_-1,raw_hmm_interaction,2015-12-31,-1,validation,48,0.0031010417609116155,0.017500833182596903,1.0706003541207476,2.5291742873527636,-0.2879669562212727,0.0033199764073752022,0.007843075085704795,-0.28464697981389747
raw_hmm_interaction_2016-12-31_-1,raw_hmm_interaction,2016-12-31,-1,training,1434,-0.04018125047933246,-0.17636038552832675,1.1148683092470191e-17,1.0,0.029432958360271863,0.0,0.04018125047933246,0.029432958360271853
raw_hmm_interaction_2016-12-31_-1,raw_hmm_interaction,2016-12-31,-1,validation,50,-0.04018125047933246,-0.17636038552832675,-0.17579290672165881,0.553799068073007,-0.20552469826085976,0.007063578817472899,0.022252339069462383,-0.19846111944338687
raw_hmm_interaction_2017-12-31_-1,raw_hmm_interaction,2017-12-31,-1,training,1678,-0.022084541244947724,-0.11342139685282344,-1.2703386217403459e-17,1.0,0.08286215565642262,1.3232693976461937e-19,0.022084541244947724,0.08286215565642262
raw_hmm_interaction_2017-12-31_-1,raw_hmm_interaction,2017-12-31,-1,validation,49,-0.022084541244947724,-0.11342139685282344,0.14474773860393775,1.497106289355205,0.17842545580156147,-0.0031966874033115765,0.033062905595335666,0.1752287683982499
raw_hmm_interaction_2018-12-31_-1,raw_hmm_interaction,2018-12-31,-1,training,1921,-0.0598947727615678,-0.2741931001256375,-1.1096450844769914e-17,1.0,0.04639552337190552,6.935281777981196e-19,0.0598947727615678,0.04639552337190551
raw_hmm_interaction_2018-12-31_-1,raw_hmm_interaction,2018-12-31,-1,validation,46,-0.0598947727615678,-0.2741931001256375,-0.49767452590130984,1.6370578408888061,-0.1931177070126843,0.029808102638079946,0.09805120737757786,-0.1633096043746043
raw_hmm_interaction_2019-12-31_-1,raw_hmm_interaction,2019-12-31,-1,training,2165,-0.07608726199761001,-0.3740913995979771,1.1486834065405776e-17,0.9999999999999999,0.08791144420091836,-5.12805092205615e-19,0.07608726199761,0.08791144420091834
raw_hmm_interaction_2019-12-31_-1,raw_hmm_interaction,2019-12-31,-1,validation,46,-0.07608726199761001,-0.3740913995979771,0.3715409115825583,1.4264997279499383,0.14181692152599967,-0.028269530682412974,0.10853845854004635,0.1135473908435867
