job,iteration,objective,gradient_inf,last_step,last_backtracks
learned_hmm_interaction_2019-12-31_20260910,4,0.650761004528872,2.4952912999753885e-15,1.0,0
learned_hmm_interaction_2019-12-31_20260911,0,0.6922242824846752,0.1274156706708346,0.0,0
learned_hmm_interaction_2019-12-31_20260911,1,0.639599721093943,0.008669043272011089,1.0,0
learned_hmm_interaction_2019-12-31_20260911,2,0.639224585878418,0.00020421406505062941,1.0,0
learned_hmm_interaction_2019-12-31_20260911,3,0.6392243412113223,1.5630290581584386e-07,1.0,0
learned_hmm_interaction_2019-12-31_20260911,4,0.6392243412111352,2.072618335638432e-13,1.0,0
learned_hmm_interaction_2019-12-31_20260912,0,0.6922242824846752,0.09274008273489798,0.0,0
learned_hmm_interaction_2019-12-31_20260912,1,0.6562634488177318,0.005938104005375635,1.0,0
learned_hmm_interaction_2019-12-31_20260912,2,0.6560594905228964,0.00012012144007104357,1.0,0
learned_hmm_interaction_2019-12-31_20260912,3,0.6560593852873702,1.419486307727277e-07,1.0,0
learned_hmm_interaction_2019-12-31_20260912,4,0.6560593852872909,1.3465053724792675e-13,1.0,0
raw_hmm_interaction_2014-12-31_-1,0,0.6930225987958569,0.07833602115536535,0.0,0
raw_hmm_interaction_2014-12-31_-1,1,0.6548373320079375,0.00538703987272802,1.0,0
raw_hmm_interaction_2014-12-31_-1,2,0.6546769391153083,0.00010651361426446777,1.0,0
raw_hmm_interaction_2014-12-31_-1,3,0.6546768782689687,5.496770584924662e-08,1.0,0
raw_hmm_interaction_2014-12-31_-1,4,0.6546768782689504,1.7172027688694413e-14,1.0,0
raw_hmm_interaction_2015-12-31_-1,0,0.693124583115526,0.07291590343213167,0.0,0
raw_hmm_interaction_2015-12-31_-1,1,0.6654404811974336,0.003084924953364786,1.0,0
raw_hmm_interaction_2015-12-31_-1,2,0.6653958997419402,2.199129987974155e-05,1.0,0
raw_hmm_interaction_2015-12-31_-1,3,0.6653958975397107,1.4477823657814415e-09,1.0,0
raw_hmm_interaction_2015-12-31_-1,4,0.6653958975397107,3.3393426912553537e-17,1.0,0
raw_hmm_interaction_2016-12-31_-1,0,0.6930499179826164,0.04678540637158046,0.0,0
raw_hmm_interaction_2016-12-31_-1,1,0.6704660636295219,0.0016320743765283223,1.0,0
raw_hmm_interaction_2016-12-31_-1,2,0.670439245879769,7.2398907265946175e-06,1.0,0
raw_hmm_interaction_2016-12-31_-1,3,0.6704392454119212,1.533382135458436e-10,1.0,0
raw_hmm_interaction_2017-12-31_-1,0,0.6923258407995493,0.027795306515918383,0.0,0
raw_hmm_interaction_2017-12-31_-1,1,0.6793835256586473,0.0006554657920924032,1.0,0
raw_hmm_interaction_2017-12-31_-1,2,0.6793784110337718,1.238930335672626e-06,1.0,0
raw_hmm_interaction_2017-12-31_-1,3,0.6793784110202357,4.783176892758645e-12,1.0,0
raw_hmm_interaction_2018-12-31_-1,0,0.6928966339915423,0.025463630361682973,0.0,0
raw_hmm_interaction_2018-12-31_-1,1,0.6785202027830456,0.0007027059899889754,1.0,0
raw_hmm_interaction_2018-12-31_-1,2,0.6785134983448646,1.5929473737275567e-06,1.0,0
raw_hmm_interaction_2018-12-31_-1,3,0.6785134983226899,7.828176841018046e-12,1.0,0
