arm,epoch,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share
baseline,20,2020,0.0012011250288839028,0.034657250740413655,0.5652173913043478,-0.030231977096233,0.008354323681617055,46,0.5138888888888888,0.7391304347826086,-0.06799867048604513,0.008354323681617057,-2.220446049250313e-16
small,2,2018,0.0009748779256367653,0.031223035176560995,0.42857142857142855,0.030795297127193828,7.343351920645401e-06,49,0.5,1.0,-0.002384386175863895,7.343351920645401e-06,0.0
small,2,2019,0.0007021337463809862,0.0264978064447038,0.6521739130434783,-0.37661265654988024,1.6646212354572697e-05,46,0.5,1.0,0.0027554043886010016,1.6646212354572697e-05,2.220446049250313e-16
small,2,2020,0.0011248999664303662,0.03353952841693464,0.6086956521739131,-0.12899334092862505,1.792779029757052e-05,46,0.5,1.0,-0.00022199162211511414,1.792779029757052e-05,0.0
small,5,2018,0.0009645996755416723,0.031058005015481473,0.42857142857142855,0.10550468727238269,2.5925613320036478e-05,49,0.5,1.0,0.008183867696334834,2.5925613320036478e-05,0.0
small,5,2019,0.0007024928292785517,0.02650458128849712,0.6521739130434783,-0.3701297223536973,6.462175069498457e-05,46,0.5,1.0,0.002245396885302009,6.462175069498456e-05,2.220446049250313e-16
small,5,2020,0.001125759338473581,0.033552337302691464,0.6086956521739131,-0.21632429800514172,6.790104449311236e-05,46,0.5,1.0,-0.0009861154040158304,6.790104449311236e-05,0.0
small,10,2018,0.0009585578582592513,0.03096058556066489,0.42857142857142855,0.14457459169580425,0.0007461504693056979,49,0.5,1.0,0.014396156587859976,0.0007461504693056979,0.0
small,10,2019,0.0007102121034609402,0.026649804942268155,0.6086956521739131,-0.20080621198211832,0.0007713101384101596,46,0.4666666666666667,0.9565217391304348,-0.008718332603712575,0.0007713101384101596,0.0
small,10,2020,0.001127584348215248,0.033579522751451485,0.6304347826086957,-0.01569079841076946,0.0021701403854622143,46,0.5575396825396826,0.8478260869565217,-0.002608850698721632,0.0021701403854622143,1.1102230246251565e-16
small,20,2018,0.0009680307166142475,0.031113192002979177,0.6326530612244898,0.2328023926070977,0.007528860311506389,49,0.6607142857142857,0.673469387755102,0.004656018814916174,0.00752886031150639,-2.220446049250313e-16
small,20,2019,0.000726165708916238,0.02694746201252055,0.5652173913043478,0.20037678263578726,0.008060056980420767,46,0.6083333333333334,0.391304347826087,-0.031377330127781766,0.008060056980420767,0.0
small,20,2020,0.0011793945393609527,0.0343423141235554,0.5217391304347826,-0.007149999362883323,0.007592629248796809,46,0.4781746031746032,0.6956521739130435,-0.048676673723487385,0.007592629248796809,0.0
dropout,2,2018,0.0009716155764439558,0.031170748730884792,0.42857142857142855,0.15753771747428597,5.407099977414103e-06,49,0.5,1.0,0.0009700111359736141,5.407099977414103e-06,0.0
dropout,2,2019,0.000700516496283317,0.026467272173069083,0.6521739130434783,-0.23257067166187192,1.3126352187813887e-05,46,0.5,1.0,0.005052393997725169,1.3126352187813887e-05,0.0
dropout,2,2020,0.0011270734159126838,0.033571914093668886,0.6086956521739131,-0.3453828055136386,9.485346099183917e-06,46,0.5,1.0,-0.0021545474357598238,9.485346099183917e-06,0.0
dropout,5,2018,0.000967034967846947,0.03109718585092463,0.42857142857142855,0.1377257698912591,3.1280145687513525e-05,49,0.5,1.0,0.00567986291954492,3.1280145687513525e-05,0.0
dropout,5,2019,0.0007033009666074535,0.026519822145094667,0.6521739130434783,-0.22111325433429627,6.654558626412734e-05,46,0.5,1.0,0.0010975947921637585,6.654558626412734e-05,0.0
dropout,5,2020,0.0011235002483223062,0.03351865522842923,0.6086956521739131,-0.23749413728645757,5.5482807264073935e-05,46,0.5,1.0,0.0010225891188693215,5.5482807264073935e-05,0.0
dropout,10,2018,0.0009457300730540897,0.03075272464439679,0.46938775510204084,0.16923478584239224,0.000828989641888867,49,0.5119047619047619,0.7959183673469388,0.027585881435176596,0.000828989641888867,0.0
dropout,10,2019,0.0007034470860348978,0.02652257691165958,0.6304347826086957,0.09561628516261451,0.003369695888644642,46,0.6,0.6304347826086957,0.0008900605295197872,0.003369695888644642,0.0
dropout,10,2020,0.0011465083435724093,0.03386012911334523,0.5,-0.12320829154224189,0.002508804766729133,46,0.44047619047619047,0.7608695652173914,-0.01943541029552942,0.002508804766729133,0.0
dropout,20,2018,0.0009582402622583474,0.030955456098373794,0.5918367346938775,0.2672077530460862,0.005936906670735293,49,0.6309523809523809,0.7551020408163265,0.014722713651104669,0.005936906670735293,0.0
dropout,20,2019,0.0007369585843981164,0.027146981128628584,0.5217391304347826,0.24664550819020642,0.0084385244717967,46,0.5895833333333333,0.30434782608695654,-0.04670651320847918,0.008438524471796698,1.1102230246251565e-16
dropout,20,2020,0.0011923815254368058,0.03453087785499821,0.5652173913043478,-0.02122217745089081,0.007845646265914032,46,0.5337301587301587,0.6521739130434783,-0.06022425081087879,0.007845646265914032,0.0
decay,2,2018,0.0009741693491642824,0.03121168609934879,0.42857142857142855,0.024694706270432253,5.200157342467319e-06,49,0.5,1.0,-0.0016558170147922269,5.200157342467319e-06,0.0
decay,2,2019,0.0007009281119673926,0.026475046968181048,0.6521739130434783,-0.2847045683657881,1.5152946941137587e-05,46,0.5,1.0,0.004467773875805436,1.5152946941137587e-05,0.0
decay,2,2020,0.001125594701320527,0.033549883775067346,0.6086956521739131,-0.1800256514495903,6.649492506634989e-06,46,0.5,1.0,-0.0008397257640149203,6.649492506634989e-06,-2.220446049250313e-16
decay,5,2018,0.0009660790910031369,0.031081812865454566,0.42857142857142855,0.19901815126963254,9.303956558998452e-05,49,0.5,1.0,0.006662710102915526,9.303956558998452e-05,0.0
decay,5,2019,0.0007026948428545447,0.026508391932641723,0.6521739130434783,-0.042693078021670154,0.00033770021721323153,46,0.5,1.0,0.0019584758422136472,0.00033770021721323153,0.0
decay,5,2020,0.001120400228109512,0.03347238007834985,0.6086956521739131,0.02899648853586992,0.00021422017257940193,46,0.5,1.0,0.003779019453869825,0.00021422017257940196,-2.220446049250313e-16
decay,10,2018,0.0009338068183048174,0.030558252867348576,0.6122448979591837,0.11239070961907839,0.0032412556885022758,49,0.6130952380952381,0.4897959183673469,0.03984555424011904,0.0032412556885022758,0.0
decay,10,2019,0.0006976621497707036,0.02641329494346935,0.5869565217391305,0.13570456891749766,0.0038540313419015426,46,0.5666666666666667,0.5869565217391305,0.009106438755405177,0.0038540313419015426,0.0
decay,10,2020,0.0011538325579356413,0.03396811089736433,0.5652173913043478,-0.014583642308413516,0.005418340462549328,46,0.503968253968254,0.782608695652174,-0.025947847397564505,0.005418340462549328,0.0
decay,20,2018,0.0010279722885720433,0.032062006933004726,0.6122448979591837,0.18407740717356055,0.011793708654687733,49,0.6369047619047619,0.6530612244897959,-0.05697682180365238,0.011793708654687731,1.1102230246251565e-16
decay,20,2019,0.0008639224598704289,0.029392557899414418,0.5,0.12334543782418964,0.010801847407970116,46,0.5729166666666666,0.2826086956521739,-0.2270340352870719,0.010801847407970116,0.0
decay,20,2020,0.0011459076572673732,0.033851257838777175,0.5652173913043478,0.06927506457445763,0.007334174946394769,46,0.5337301587301587,0.6521739130434783,-0.018901300889988093,0.007334174946394769,0.0
combined,2,2018,0.0009746528386307829,0.03121943046615013,0.42857142857142855,0.03730607131480085,9.559635505626851e-06,49,0.5,1.0,-0.002152948275389699,9.559635505626851e-06,0.0
combined,2,2019,0.000702046147713028,0.026496153451265866,0.6521739130434783,-0.35220780006113295,1.612985486405947e-05,46,0.5,1.0,0.0028798212801893763,1.612985486405947e-05,2.220446049250313e-16
combined,2,2020,0.0011238459438155399,0.03352381159438079,0.6086956521739131,-0.16585325489183225,1.5914395382410857e-05,46,0.5,1.0,0.000715208689448299,1.5914395382410853e-05,1.1102230246251565e-16
combined,5,2018,0.0009657633945627756,0.03107673397515858,0.42857142857142855,0.014904309138145342,2.336047418938063e-05,49,0.5,1.0,0.006987314008971568,2.336047418938063e-05,0.0
combined,5,2019,0.0007022010158189098,0.02649907575405055,0.6521739130434783,-0.2799499083887879,2.574941102625233e-05,46,0.5,1.0,0.002659861219276194,2.574941102625233e-05,0.0
combined,5,2020,0.0011254244411625408,0.03354734626110597,0.6086956521739131,-0.27672743892783547,4.854440056546787e-05,46,0.5,1.0,-0.000688336343269258,4.854440056546787e-05,0.0
combined,10,2018,0.0009731514946780941,0.031195376174652775,0.42857142857142855,0.04227082614619073,0.00013749948082248344,49,0.5,1.0,-0.0006092434720710305,0.00013749948082248344,0.0
combined,10,2019,0.0007043591605910792,0.02653976564687562,0.6521739130434783,-0.026301038096882223,0.0004005797054999455,46,0.5,1.0,-0.000405364204919767,0.0004005797054999455,0.0
combined,10,2020,0.0011449539642478452,0.03383716838400999,0.5652173913043478,-0.24938582648303212,0.0012840635918577223,46,0.4642857142857143,0.9565217391304348,-0.018053310170941916,0.0012840635918577223,0.0
combined,20,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0
combined,20,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346795,0.007319686302999174,0.0
combined,20,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.044446212093575355,0.0067285832698688085,0.0
