history,date,actual,cutoff,train_n,full_train_n,training_mean,zero_return
full,2019-11-15,-0.0060576496216228,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-11-22,-0.0040145729517496,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-11-29,0.0192986069649145,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-12-06,0.0156489398981463,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-12-13,0.0110761047772312,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-12-20,0.0002067407446153,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-12-27,0.0261485436506356,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2020-01-03,0.0112631415452417,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-01-10,0.000914342213572,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-01-17,-0.0715388636069378,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-02-07,0.0328687599583719,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-02-14,0.0330503919092921,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-02-21,-0.0394497366790582,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-02-28,0.0237449733423367,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-03-06,-0.040171495515717,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-03-13,-0.0915879031554979,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-03-20,0.0323992006051916,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-03-27,0.0334795185729988,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-04-03,-0.0074604950911528,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-04-10,0.0249886051960306,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-04-17,-0.009736156402615,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-04-24,0.0437865347345864,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-05-08,-0.0151204097857481,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-05-15,-0.022055555271722,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-05-22,0.0191755130187654,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-05-29,0.0312374254497365,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-06-05,-0.010100382492339,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-06-12,0.0287574347785699,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-06-19,0.0898838562932122,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-07-03,0.0619282952028859,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-07-10,-0.0306112766401609,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-07-17,-0.0135277995301487,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-07-24,0.0442975869953978,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-07-31,-0.0114318292193668,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-08-07,0.0096886640921363,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-08-14,0.0040785933083991,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-08-21,0.0262367267824037,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-08-28,-0.0228724288790846,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-09-04,-0.0225800080680405,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-09-11,0.0212164529615974,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-09-18,-0.035383886754723,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-09-25,0.0267399866889246,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-10-09,0.0251424490828213,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-10-16,-0.0289085288867603,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-10-23,0.0039922716452642,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-10-30,0.0459539631066927,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-11-06,-0.0077050373460516,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-11-13,0.0150871959614502,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-11-20,0.0079744076212002,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-11-27,0.0143408935726285,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-12-04,-0.0319993367194855,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-12-11,0.018788122268605,2019-12-31,2165,2165,0.0017267351812499422,0.0
full,2020-12-18,0.0094440085192242,2019-12-31,2165,2165,0.0017267351812499422,0.0
