arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
baseline,drop_early,2018-12-31,20260910,4,1536,1921,16,1.1207278893057224,,,
baseline,drop_early,2018-12-31,20260910,5,1536,1921,16,1.1027317081405,,,
baseline,drop_early,2018-12-31,20260910,6,1536,1921,16,1.0870744681867195,,,
baseline,drop_early,2018-12-31,20260910,7,1536,1921,16,1.0837890654414473,,,
baseline,drop_early,2018-12-31,20260910,8,1536,1921,16,1.0629486870107894,,,
baseline,drop_early,2018-12-31,20260910,9,1536,1921,16,1.1045480476094063,,,
baseline,drop_early,2018-12-31,20260910,10,1536,1921,16,1.0426710395376115,0.9157743031779925,1.0733616600433986,0.0007507438053579178
small,drop_early,2018-12-31,20260910,1,1536,1921,16,1.0987943533123439,,,
small,drop_early,2018-12-31,20260910,2,1536,1921,16,1.1288900915407254,,,
small,drop_early,2018-12-31,20260910,3,1536,1921,16,1.0899113307453456,,,
small,drop_early,2018-12-31,20260910,4,1536,1921,16,1.1201374988143857,,,
small,drop_early,2018-12-31,20260910,5,1536,1921,16,1.1036667831548486,,,
small,drop_early,2018-12-31,20260910,6,1536,1921,16,1.0903721406148288,,,
small,drop_early,2018-12-31,20260910,7,1536,1921,16,1.0928933846336177,,,
small,drop_early,2018-12-31,20260910,8,1536,1921,16,1.0794732012145536,,,
small,drop_early,2018-12-31,20260910,9,1536,1921,16,1.1334278647444138,,,
small,drop_early,2018-12-31,20260910,10,1536,1921,16,1.0912518624772882,0.9679316555460294,1.0161739413936932,0.0007543947553158993
dropout,drop_early,2018-12-31,20260910,1,1536,1921,16,1.0993620767250836,,,
dropout,drop_early,2018-12-31,20260910,2,1536,1921,16,1.1305004102815446,,,
dropout,drop_early,2018-12-31,20260910,3,1536,1921,16,1.090313206173243,,,
dropout,drop_early,2018-12-31,20260910,4,1536,1921,16,1.1213704502129542,,,
dropout,drop_early,2018-12-31,20260910,5,1536,1921,16,1.1038530755949045,,,
dropout,drop_early,2018-12-31,20260910,6,1536,1921,16,1.0910975188404741,,,
