state,cutoff,seed,mode,draw,audit_seed,return_mse,return_huber,auxiliary_mse,linear_fraction,common_joint
joint,2017-12-31,20260912,dropout,4,20261104,0.9695254054440381,0.7700474996886466,1.0329789988434606,0.2598331346841478,0.8733453995729927
joint,2017-12-31,20260912,dropout,5,20261105,0.9688385360365139,0.7699872337044184,1.0326458968586234,0.2592371871275328,0.8732518233902807
joint,2017-12-31,20260912,dropout,6,20261106,0.9666851737613248,0.7684663637447847,1.0344232868656285,0.25744934445768775,0.8719086924313476
joint,2017-12-31,20260912,dropout,7,20261107,0.9718582124700405,0.7704988028272413,1.0328986718451452,0.2550655542312277,0.8737886700117558
return_only,2017-12-31,20260912,eval,-1,-1,0.9500244183875387,0.7584538826627555,1.082211684235799,0.2598331346841478,0.8666750510863354
return_only,2017-12-31,20260912,dropout,0,20261100,0.9629855730017882,0.7667237716385762,1.072534204701559,0.26102502979737785,0.873977192108732
return_only,2017-12-31,20260912,dropout,1,20261101,0.9648141567265998,0.767612228475638,1.076757068638118,0.2634088200238379,0.8752879353394498
return_only,2017-12-31,20260912,dropout,2,20261102,0.9627846980257105,0.7677958386883716,1.0775582450702876,0.2556615017878427,0.8755516631954005
return_only,2017-12-31,20260912,dropout,3,20261103,0.9605267396422597,0.7641839708241409,1.0777008046259542,0.25685339690107273,0.8719540512867363
return_only,2017-12-31,20260912,dropout,4,20261104,0.9646639753618033,0.7672847237212322,1.0761205529432225,0.2622169249106079,0.8748967790155545
return_only,2017-12-31,20260912,dropout,5,20261105,0.9647236386735064,0.7677919223354112,1.07415462536149,0.26102502979737785,0.8752073848715601
return_only,2017-12-31,20260912,dropout,6,20261106,0.9611520775779525,0.7649170731774413,1.0760370509585764,0.25446960667461266,0.8725207782732989
return_only,2017-12-31,20260912,dropout,7,20261107,0.9689912538037745,0.7690296020381644,1.0752978838216491,0.25387365911799764,0.8765593904203293
joint,2018-12-31,20260910,eval,-1,-1,0.7842937527509292,0.6632580080897343,0.9552159424481418,0.23112961998958875,0.7587796023345486
joint,2018-12-31,20260910,dropout,0,20261100,0.8496686932557556,0.7084634708221876,0.9835451552911019,0.2493492972410203,0.8068179863512979
joint,2018-12-31,20260910,dropout,1,20261101,0.8497358296558024,0.706965418940771,0.9785965876939829,0.24362311296199896,0.8048250777101693
joint,2018-12-31,20260910,dropout,2,20261102,0.8402128196169505,0.7008214573384062,0.9742437230499693,0.24414367516918273,0.7982458296434031
joint,2018-12-31,20260910,dropout,3,20261103,0.8254906069010327,0.6901132445834867,0.9693490695974313,0.22852680895366997,0.7870481515432298
joint,2018-12-31,20260910,dropout,4,20261104,0.8388600112229573,0.6968261956888974,0.9725960417108136,0.23789692868297763,0.7940857998599787
joint,2018-12-31,20260910,dropout,5,20261105,0.849016661557206,0.705047747228064,0.9762088736302992,0.2467464862051015,0.8026686345910938
joint,2018-12-31,20260910,dropout,6,20261106,0.8331115410414578,0.6956058012508491,0.9720461410467883,0.2368558042686101,0.792810415355528
joint,2018-12-31,20260910,dropout,7,20261107,0.8374051202910748,0.6975339047816246,0.9725685937874085,0.24362311296199896,0.7947907641603654
return_only,2018-12-31,20260910,eval,-1,-1,0.7834678410651685,0.662906303131573,0.9744458024480701,0.230609057782405,0.7603508833763799
return_only,2018-12-31,20260910,dropout,0,20261100,0.84944864533259,0.7085866469013781,1.0000470397040784,0.2493492972410203,0.8085913508717859
return_only,2018-12-31,20260910,dropout,1,20261101,0.8494279305794261,0.7069498380692645,0.9944652352542197,0.245705361790734,0.8063963615946864
return_only,2018-12-31,20260910,dropout,2,20261102,0.8391342157603477,0.7002556318557608,0.990208613921397,0.24466423737636647,0.7992764932479005
return_only,2018-12-31,20260910,dropout,3,20261103,0.8249413921181118,0.6898919215814168,0.9867827553400951,0.22904737116085372,0.7885701971154263
return_only,2018-12-31,20260910,dropout,4,20261104,0.8383206134357813,0.6965995019245753,0.9890916104904071,0.2394586153045289,0.795508662973616
return_only,2018-12-31,20260910,dropout,5,20261105,0.8484381266543485,0.7048769999490899,0.9928233447459947,0.24622592399791776,0.8041593344236894
return_only,2018-12-31,20260910,dropout,6,20261106,0.8323544593146722,0.6953111714303526,0.9886291211394361,0.23997917751171266,0.7941740835442962
return_only,2018-12-31,20260910,dropout,7,20261107,0.8368224832828773,0.6973438293178466,0.9891177920827265,0.24518479958355024,0.7962556085261192
joint,2018-12-31,20260911,eval,-1,-1,0.9113041094172467,0.7418824047669141,0.9871038701627666,0.2514315460697553,0.8405927917831908
joint,2018-12-31,20260911,dropout,0,20261100,0.943496819567263,0.7622068819663751,1.0036575932488163,0.25663716814159293,0.8625726412912568
joint,2018-12-31,20260911,dropout,1,20261101,0.9368705007733347,0.756513565929583,1.0032783456724612,0.2509109838625716,0.8568414004968291
joint,2018-12-31,20260911,dropout,2,20261102,0.944705105282503,0.7661967306237558,1.0065117417109906,0.2634044768349818,0.8668479047948549
joint,2018-12-31,20260911,dropout,3,20261103,0.9334266009755804,0.7592060381983037,1.0014859479927167,0.260801665799063,0.8593546329975754
joint,2018-12-31,20260911,dropout,4,20261104,0.9411060757037243,0.7608357727106017,1.001953531741196,0.25663716814159293,0.8610311258847213
joint,2018-12-31,20260911,dropout,5,20261105,0.9399037391437551,0.7603970271779427,0.9982247161739571,0.25923997917751174,0.8602194987953384
